time,hunger,sleep
0.003,0.1815,0.18200785268976954
0.004,0.183,0.1845314030094214
0.006,0.183,0.1850471006393037
0.008,0.18499999999999997,0.18774513674374324
0.009,0.18712499999999999,0.1918209300290052
0.012,0.1875,0.18
0.013,0.1875,0.18
0.015,0.1875,0.18
0.033,0.189,0.1815
0.034,0.1905,0.184648226467642
0.035,0.19400000000000003,0.1909716070893158
0.036,0.195,0.19312111127178067
0.043,0.195,0.19312111127178067
0.044,0.1965,0.1860823183007368
0.045,0.2005,0.18546077442757786
0.046,0.2025,0.18
0.064,0.20500000000000007,0.18417029360667722
0.065,0.211375,0.19597843296786796
0.066,0.2180357142857143,0.20853880106911774
0.067,0.22462500000000005,0.2213382007539785
0.087,0.22500000000000003,0.20120713806434865
0.088,0.22500000000000006,0.18000000000000002
0.089,0.2290384615384616,0.1873260431183591
0.09,0.23250000000000004,0.19464973186550635
0.138,0.23400000000000004,0.19711944394668593
0.139,0.24023076923076928,0.2094781671522683
0.14,0.24991666666666676,0.22857622555476492
0.141,0.2613750000000001,0.2515395601606972
0.142,0.2723823529411765,0.2734069955461432
0.143,0.28279411764705886,0.2532067517769224
0.144,0.2850000000000001,0.18000000000000002
0.145,0.2850000000000001,0.17999999999999997
0.146,0.2850000000000001,0.17999999999999997
0.147,0.2850000000000001,0.18
0.171,0.2856000000000001,0.18087901550123756
0.172,0.29127272727272735,0.19166166657869194
0.21,0.2980000000000001,0.20428421435694
0.211,0.3000000000000001,0.20846541500016819
0.26,0.3000000000000001,0.17999999999999997
0.261,0.303409090909091,0.1857141500365407
0.262,0.31125000000000014,0.1999183026675893
0.263,0.31710000000000016,0.2105679908500609
0.264,0.32662500000000005,0.2136776411024365
0.265,0.3300000000000001,0.18000000000000002
0.266,0.3304285714285715,0.18056918494578014
0.267,0.335357142857143,0.1883723920635838
0.268,0.34425000000000017,0.2025333485991664
0.269,0.3510000000000001,0.21310870200251758
0.27,0.35250000000000015,0.21565196000551945
0.309,0.3543000000000001,0.2180565297617139
0.31,0.360346153846154,0.201776888614318
0.311,0.36695454545454564,0.18403095624351823
0.312,0.36750000000000016,0.18
0.372,0.36900000000000016,0.18181775784314463
0.373,0.37410000000000004,0.1891925061472224
0.374,0.3780000000000001,0.19453636228183338
0.375,0.38800000000000023,0.20821882618283724
