creatureKey,regulatingCount,batches
98,0,1570
98,1,265
98,2,161
98,3,104
98,4,91
98,5,203
98,6,40
98,7,33
98,8,21
98,9,19
98,10,63
98,11,8
98,12,11
98,13,8
98,14,12
98,15,18
98,16,8
98,17,8
98,18,3
98,19,5
98,20,6
98,21,5
98,22,6
98,23,2
98,24,5
98,25,9
98,26,6
98,27,3
98,28,3
98,29,2
98,30,3
98,31,2
98,33,2
98,35,2
98,36,1
98,37,1
98,38,2
98,40,2
98,41,1
98,43,2
98,45,2
98,46,2
98,47,1
98,50,3
98,51,1
98,53,1
98,54,1
98,55,1
98,57,1
98,63,1
98,71,1
98,73,1
98,75,1
98,76,1
98,77,1
98,80,2
98,90,1
98,109,1
98,115,1
