creature_key,onset_cycle,wake_cycle,duration_ticks,engram_count,mean_eligibility,std_eligibility,batches_completed,aborted
351,1,13,11,0,0.0,0.0,0,false
351,14,26,11,0,0.0,0.0,0,false
351,27,38,10,0,0.0,0.0,0,false
351,40,51,10,0,0.0,0.0,0,false
351,52,63,10,0,0.0,0.0,0,false
351,65,76,10,0,0.0,0.0,0,false
351,84,96,11,0,0.0,0.0,0,false
351,97,108,10,0,0.0,0.0,0,false
351,111,122,10,0,0.0,0.0,0,false
351,124,135,10,0,0.0,0.0,0,false
351,136,147,10,0,0.0,0.0,0,false
351,148,159,10,0,0.0,0.0,0,false
351,162,174,11,0,0.0,0.0,0,false
351,182,194,11,0,0.0,0.0,0,false
351,195,206,10,0,0.0,0.0,0,false
351,207,218,10,0,0.0,0.0,0,false
351,219,230,10,0,0.0,0.0,0,false
351,231,242,10,0,0.0,0.0,0,false
351,243,254,10,0,0.0,0.0,0,false
351,255,266,10,0,0.0,0.0,0,false
351,268,279,10,0,0.0,0.0,0,false
351,283,294,10,0,0.0,0.0,0,false
351,296,307,10,0,0.0,0.0,0,false
351,308,320,11,0,0.0,0.0,0,false
351,321,332,10,0,0.0,0.0,0,false
351,335,346,10,0,0.0,0.0,0,false
351,349,360,10,0,0.0,0.0,0,false
351,366,378,11,0,0.0,0.0,0,false
351,381,392,10,0,0.0,0.0,0,false
351,394,405,10,0,0.0,0.0,0,false
351,407,418,10,0,0.0,0.0,0,false
351,422,433,10,0,0.0,0.0,0,false
351,435,447,11,0,0.0,0.0,0,false
351,449,460,10,0,0.0,0.0,0,false
351,465,478,12,0,0.0,0.0,0,false
351,484,496,11,0,0.0,0.0,0,false
351,498,509,10,0,0.0,0.0,0,false
351,510,521,10,0,0.0,0.0,0,false
351,523,534,10,0,0.0,0.0,0,false
351,537,549,11,0,0.0,0.0,0,false
351,550,562,11,0,0.0,0.0,0,false
351,565,581,15,0,0.0,0.0,0,false
351,582,593,10,0,0.0,0.0,0,false
351,595,606,10,0,0.0,0.0,0,false
351,613,626,12,0,0.0,0.0,0,false
351,627,639,11,0,0.0,0.0,0,false
351,640,651,10,0,0.0,0.0,0,false
351,652,663,10,0,0.0,0.0,0,false
351,666,678,11,0,0.0,0.0,0,false
351,682,693,10,0,0.0,0.0,0,false
351,696,708,11,0,0.0,0.0,0,false
351,709,720,10,0,0.0,0.0,0,false
351,722,733,10,0,0.0,0.0,0,false
351,735,747,11,0,0.0,0.0,0,false
351,749,761,11,0,0.0,0.0,0,false
351,762,773,10,0,0.0,0.0,0,false
351,774,786,11,0,0.0,0.0,0,false
351,788,801,12,0,0.0,0.0,0,false
351,802,815,12,0,0.0,0.0,0,false
351,816,828,11,0,0.0,0.0,0,false
351,832,844,11,0,0.0,0.0,0,false
351,845,856,10,0,0.0,0.0,0,false
351,858,869,10,0,0.0,0.0,0,false
351,870,886,15,0,0.0,0.0,0,false
351,892,905,12,0,0.0,0.0,0,false
351,907,918,10,0,0.0,0.0,0,false
351,924,935,10,0,0.0,0.0,0,false
351,936,947,10,0,0.0,0.0,0,false
351,955,966,10,0,0.0,0.0,0,false
351,967,978,10,0,0.0,0.0,0,false
351,979,990,10,0,0.0,0.0,0,false
351,991,1002,10,0,0.0,0.0,0,false
351,1003,1016,12,0,0.0,0.0,0,false
351,1017,1028,10,0,0.0,0.0,0,false
351,1032,1043,10,0,0.0,0.0,0,false
351,1046,1057,10,0,0.0,0.0,0,false
351,1059,1073,13,0,0.0,0.0,0,false
351,1074,1087,12,0,0.0,0.0,0,false
351,1089,1101,11,0,0.0,0.0,0,false
351,1102,1114,11,0,0.0,0.0,0,false
351,1115,1126,10,0,0.0,0.0,0,false
351,1128,1141,12,0,0.0,0.0,0,false
351,1144,1156,11,0,0.0,0.0,0,false
351,1158,1171,12,0,0.0,0.0,0,false
351,1172,1185,12,0,0.0,0.0,0,false
351,1192,1204,11,0,0.0,0.0,0,false
351,1213,1225,11,0,0.0,0.0,0,false
351,1229,1243,13,0,0.0,0.0,0,false
351,1247,1258,10,0,0.0,0.0,0,false
351,1259,1271,11,0,0.0,0.0,0,false
351,1274,1286,11,0,0.0,0.0,0,false
351,1287,1298,10,0,0.0,0.0,0,false
351,1299,1315,15,0,0.0,0.0,0,false
351,1319,1332,12,0,0.0,0.0,0,false
351,1333,1345,11,0,0.0,0.0,0,false
351,1347,1360,12,0,0.0,0.0,0,false
351,1361,1375,13,0,0.0,0.0,0,false
351,1378,1389,10,0,0.0,0.0,0,false
351,1391,1403,11,0,0.0,0.0,0,false
351,1406,1417,10,0,0.0,0.0,0,false
351,1419,1432,12,0,0.0,0.0,0,false
351,1438,1450,11,0,0.0,0.0,0,false
351,1453,1464,10,0,0.0,0.0,0,false
351,1465,1476,10,0,0.0,0.0,0,false
351,1478,1490,11,0,0.0,0.0,0,false
351,1493,1504,10,0,0.0,0.0,0,false
351,1505,1516,10,0,0.0,0.0,0,false
351,1517,1529,11,0,0.0,0.0,0,false
351,1530,1541,10,0,0.0,0.0,0,false
351,1546,1557,10,0,0.0,0.0,0,false
351,1562,1574,11,0,0.0,0.0,0,false
351,1575,1589,13,0,0.0,0.0,0,false
351,1594,1605,10,0,0.0,0.0,0,false
351,1607,1621,13,0,0.0,0.0,0,false
351,1622,1633,10,0,0.0,0.0,0,false
351,1637,1648,10,0,0.0,0.0,0,false
351,1650,1665,14,0,0.0,0.0,0,false
351,1672,1683,10,0,0.0,0.0,0,false
351,1684,1697,12,0,0.0,0.0,0,false
351,1698,1711,12,0,0.0,0.0,0,false
351,1714,1725,10,0,0.0,0.0,0,false
351,1728,1742,13,0,0.0,0.0,0,false
351,1743,1754,10,0,0.0,0.0,0,false
351,1757,1768,10,0,0.0,0.0,0,false
351,1769,1780,10,0,0.0,0.0,0,false
351,1781,1792,10,0,0.0,0.0,0,false
351,1796,1807,10,0,0.0,0.0,0,false
351,1810,1822,11,0,0.0,0.0,0,false
351,1824,1835,10,0,0.0,0.0,0,false
351,1837,1848,10,0,0.0,0.0,0,false
351,1849,1860,10,0,0.0,0.0,0,false
