creatureKey,regulatingCount,batches
349,0,1067
349,1,61
349,2,42
349,3,44
349,4,42
349,5,126
349,6,12
349,7,20
349,8,11
349,9,15
349,10,36
349,11,6
349,12,10
349,13,6
349,14,13
349,15,13
349,16,3
349,17,2
349,18,6
349,19,3
349,20,13
349,21,4
349,22,2
349,23,1
349,24,7
349,25,4
349,26,3
349,27,6
349,28,2
349,29,2
349,30,2
349,31,2
349,33,2
349,34,1
349,35,2
349,37,2
349,38,2
349,39,3
349,40,1
349,41,1
349,44,2
349,45,1
349,46,1
349,47,1
349,48,2
349,55,3
349,60,1
349,65,1
349,70,1
349,73,1
349,80,1
349,85,1
349,86,2
349,98,1
349,112,1
