time,target distance,affordance,memory,random,short term memory
18274.0,0,0,0,1,0
43464.0,0,0,0,2,0
51688.0,0,1,0,2,0
51799.0,0,1,0,3,0
51814.0,0,2,0,3,0
63597.0,0,3,0,3,0
80420.0,0,4,0,3,0
80460.0,0,4,0,4,0
80534.0,0,5,0,4,0
86363.0,0,6,0,4,0
86390.0,0,7,0,4,0
89046.0,0,8,0,4,0
89657.0,0,9,0,4,0
110022.0,0,9,0,5,0
137552.0,0,10,0,5,0
140384.0,0,11,0,5,0
140539.0,0,11,0,6,0
172125.0,0,11,0,7,0
178702.0,0,12,0,7,0
182992.0,0,12,0,8,0
182996.0,0,12,0,9,0
183021.0,0,12,0,10,0
183028.0,0,13,0,10,0
185443.0,0,13,0,11,0
185475.0,0,14,0,11,0
187203.0,0,15,0,11,0
255960.0,0,16,0,11,0
255988.0,0,17,0,11,0
256008.0,0,18,0,11,0
258394.0,0,19,0,11,0
258408.0,0,19,0,12,0
261698.0,0,20,0,12,0
261806.0,0,21,0,12,0
261826.0,0,22,0,12,0
290783.0,0,22,0,13,0
293169.0,0,23,0,13,0
293256.0,0,24,0,13,0
306615.0,0,25,0,13,0
308102.0,0,26,0,13,0
308177.0,0,27,0,13,0
308580.0,0,28,0,13,0
317425.0,0,29,0,13,0
317426.0,0,30,0,13,0
317499.0,0,31,0,13,0
317551.0,0,32,0,13,0
317586.0,0,33,0,13,0
319723.0,0,34,0,13,0
319743.0,0,35,0,13,0
319744.0,0,36,0,13,0
319776.0,0,37,0,13,0
328926.0,0,37,0,14,0
328927.0,0,38,0,14,0
347484.0,0,38,0,15,0
369015.0,0,38,0,16,0
369424.0,0,38,0,17,0
369426.0,0,39,0,17,0
369428.0,0,40,0,17,0
369475.0,0,41,0,17,0
369481.0,0,42,0,17,0
369510.0,0,43,0,17,0
369779.0,0,44,0,17,0
370232.0,0,45,0,17,0
370241.0,0,46,0,17,0
370978.0,0,46,0,18,0
370981.0,0,47,0,18,0
374399.0,0,48,0,18,0
376767.0,0,49,0,18,0
376816.0,0,50,0,18,0
