creatureKey,time,object_key,object_type,distance,angle,direction
346,1782772138199,13,RED_APPLE,33.1236085462583,-0.603471501812798,25.0
346,1782772138209,327,ALOE,14.083183920586967,-0.5910143153894323,25.0
346,1782772138213,32,RED_APPLE,103.65238448771535,0.06547169307773328,25.0
346,1782772138223,81,RED_APPLE,150.71049329155838,-0.11323683125600137,25.0
346,1782772138228,177,GREEN_APPLE,105.612410726981,-0.03949174608273401,25.0
346,1782772138247,13,RED_APPLE,33.1236085462583,-0.603471501812798,25.0
346,1782772138280,327,ALOE,14.083183920586967,-0.5910143153894323,25.0
346,1782772138316,32,RED_APPLE,103.65238448771535,0.06547169307773328,25.0
346,1782772138329,81,RED_APPLE,150.71049329155838,-0.11323683125600137,25.0
346,1782772138331,177,GREEN_APPLE,105.612410726981,-0.03949174608273401,25.0
346,1782772138333,13,RED_APPLE,33.1236085462583,-0.603471501812798,25.0
346,1782772138334,327,ALOE,14.083183920586967,-0.5910143153894323,25.0
346,1782772138363,32,RED_APPLE,103.65238448771535,0.06547169307773328,25.0
346,1782772138365,81,RED_APPLE,150.71049329155838,-0.11323683125600137,25.0
346,1782772138373,177,GREEN_APPLE,105.612410726981,-0.03949174608273401,25.0
346,1782772139496,13,RED_APPLE,33.1236085462583,-0.603471501812798,25.0
346,1782772139498,327,ALOE,14.083183920586967,-0.5910143153894323,25.0
346,1782772139509,32,RED_APPLE,103.65238448771535,0.06547169307773328,25.0
346,1782772139511,81,RED_APPLE,150.71049329155838,-0.11323683125600137,25.0
346,1782772139512,177,GREEN_APPLE,105.612410726981,-0.03949174608273401,25.0
346,1782772139513,13,RED_APPLE,33.1236085462583,-0.603471501812798,25.0
346,1782772139514,327,ALOE,14.083183920586967,-0.5910143153894323,25.0
346,1782772139527,32,RED_APPLE,103.65238448771535,0.06547169307773328,25.0
346,1782772139541,81,RED_APPLE,150.71049329155838,-0.11323683125600137,25.0
346,1782772139542,177,GREEN_APPLE,105.612410726981,-0.03949174608273401,25.0
346,1782772139554,13,RED_APPLE,33.1236085462583,-0.603471501812798,25.0
346,1782772139557,327,ALOE,14.083183920586967,-0.5910143153894323,25.0
346,1782772139558,32,RED_APPLE,103.65238448771535,0.06547169307773328,25.0
346,1782772139559,81,RED_APPLE,150.71049329155838,-0.11323683125600137,25.0
346,1782772139560,177,GREEN_APPLE,105.612410726981,-0.03949174608273401,25.0
346,1782772139561,13,RED_APPLE,33.1236085462583,-0.603471501812798,25.0
346,1782772139563,32,RED_APPLE,103.65238448771535,0.06547169307773328,25.0
346,1782772139563,327,ALOE,14.083183920586967,-0.5910143153894323,25.0
346,1782772139564,81,RED_APPLE,150.71049329155838,-0.11323683125600137,25.0
346,1782772139565,177,GREEN_APPLE,105.612410726981,-0.03949174608273401,25.0
346,1782772139586,13,RED_APPLE,33.1236085462583,-0.603471501812798,25.0
346,1782772139588,327,ALOE,14.083183920586967,-0.5910143153894323,25.0
346,1782772139594,32,RED_APPLE,103.65238448771535,0.06547169307773328,25.0
346,1782772139606,81,RED_APPLE,150.71049329155838,-0.11323683125600137,25.0
346,1782772139623,177,GREEN_APPLE,105.612410726981,-0.03949174608273401,25.0
346,1782772139624,13,RED_APPLE,33.1236085462583,-0.603471501812798,25.0
346,1782772139625,327,ALOE,14.083183920586967,-0.5910143153894323,25.0
346,1782772139640,32,RED_APPLE,103.65238448771535,0.06547169307773328,25.0
346,1782772139679,81,RED_APPLE,150.71049329155838,-0.11323683125600137,25.0
346,1782772139692,177,GREEN_APPLE,105.612410726981,-0.03949174608273401,25.0
