creatureKey,regulatingCount,batches
346,0,850
346,1,49
346,2,30
346,3,16
346,4,16
346,5,86
346,6,6
346,7,7
346,8,7
346,9,7
346,10,26
346,11,5
346,12,3
346,13,2
346,14,5
346,15,13
346,16,1
346,17,1
346,19,4
346,20,5
346,21,3
346,22,2
346,25,3
346,26,2
346,27,1
346,28,1
346,29,2
346,30,3
346,32,1
346,33,1
346,34,1
346,35,3
346,36,1
346,38,4
346,39,2
346,40,4
346,43,2
346,46,1
346,47,2
346,48,1
346,49,2
346,52,1
346,54,2
346,55,1
346,56,1
346,57,1
346,58,1
346,59,1
346,67,1
346,89,1
346,101,1
346,109,1
346,125,1
346,126,1
