creature_key,onset_cycle,batch_index,batch_size,loss
182,19,0,16,2.872743
182,19,1,16,2.0197656
182,19,2,5,3.6139262
182,37,0,16,2.865571
182,37,1,16,2.013861
182,37,2,5,3.6009798
182,49,0,16,2.8563044
182,49,1,16,2.006106
182,49,2,16,1.178367
182,49,3,16,0.7485105
182,49,4,7,3.253106
182,64,0,16,2.8378432
182,64,1,16,1.9905179
182,64,2,16,1.1696882
182,64,3,16,0.7431218
182,64,4,7,3.2276433
182,76,0,16,2.8194804
182,76,1,16,1.9752641
182,76,2,16,1.1611003
182,76,3,16,0.73805106
182,76,4,16,1.4199215
182,76,5,16,0.5567602
182,76,6,9,2.8383636
182,88,0,16,2.7986867
182,88,1,16,1.9603522
182,88,2,16,1.1529204
182,88,3,16,0.73388916
182,88,4,16,1.4133033
182,88,5,16,0.5540365
182,88,6,9,2.8273683
182,102,0,16,1.9636558
182,102,1,16,1.718165
182,102,2,16,0.31686938
182,102,3,16,1.8506966
182,102,4,16,0.23989217
182,102,5,16,1.9299155
182,102,6,16,0.1817666
182,102,7,16,1.7011889
182,117,0,16,1.9598634
182,117,1,16,1.7149054
182,117,2,16,0.31630403
182,117,3,16,1.8474802
182,117,4,16,0.23944509
182,117,5,16,1.92646
182,117,6,16,0.18144973
182,117,7,16,1.6981773
182,134,0,16,0.41743097
182,134,1,16,1.738478
182,134,2,16,0.31582138
182,134,3,16,1.8415412
182,134,4,16,0.23921145
182,134,5,16,1.6352876
182,134,6,16,0.20771447
182,134,7,16,1.9576184
182,153,0,16,0.41688246
182,153,1,16,1.7358541
182,153,2,16,0.3154425
182,153,3,16,1.8389263
182,153,4,16,0.23889765
182,153,5,16,1.6335635
182,153,6,16,0.2075155
182,153,7,16,1.9552193
182,173,0,16,0.41647452
182,173,1,16,1.7300699
182,173,2,16,0.31513157
182,173,3,16,1.5517002
182,173,4,16,0.27393442
182,173,5,16,1.8824522
182,173,6,16,0.2077507
182,173,7,16,1.9529105
182,187,0,16,0.41610616
182,187,1,16,1.4441484
182,187,2,16,0.3617464
182,187,3,16,1.7876793
182,187,4,16,0.27403817
182,187,5,16,1.8806652
182,187,6,16,0.20717753
182,187,7,16,1.9491272
182,201,0,16,0.415777
182,201,1,16,1.4427937
182,201,2,16,0.3614623
182,201,3,16,1.7862779
182,201,4,16,0.27383393
182,201,5,16,1.8792585
182,201,6,16,0.20702945
182,201,7,16,1.9477414
182,214,0,16,0.41515344
182,214,1,16,1.727904
182,214,2,16,0.31458277
182,214,3,16,1.8344876
182,214,4,16,0.23782012
182,214,5,16,1.9141531
182,214,6,16,0.1800166
182,214,7,16,1.689363
182,226,0,16,0.4149329
182,226,1,16,1.7270521
182,226,2,16,0.31442904
182,226,3,16,1.8336585
