creatureKey,regulatingCount,batches
94,0,1529
94,1,286
94,2,155
94,3,124
94,4,96
94,5,212
94,6,50
94,7,39
94,8,21
94,9,22
94,10,41
94,11,5
94,12,10
94,13,18
94,14,5
94,15,23
94,16,13
94,17,7
94,18,6
94,19,5
94,20,9
94,21,11
94,22,8
94,23,3
94,24,8
94,25,5
94,26,6
94,27,1
94,28,4
94,29,2
94,30,8
94,31,2
94,32,2
94,33,4
94,34,1
94,35,2
94,36,2
94,37,2
94,38,3
94,40,3
94,45,1
94,46,1
94,48,1
94,50,3
94,52,1
94,53,1
94,57,1
94,59,2
94,61,2
94,67,1
94,70,1
94,74,1
94,77,1
94,83,1
94,96,1
94,106,1
94,111,1
94,117,1
