ids,initialXSeries,initialYSeries,finalXSeries,finalYSeries
182,664.655222168067,458.1567630056481,667.2973632182228,459.5777101091961
182,667.2973632182228,459.5777101091961,667.2973632182228,459.5777101091961
182,667.2973632182228,459.5777101091961,667.2973632182228,459.5777101091961
182,667.2973632182228,459.5777101091961,667.2973632182228,459.5777101091961
182,667.2973632182228,459.5777101091961,667.2973632182228,459.5777101091961
182,667.2973632182228,459.5777101091961,667.2973632182228,459.5777101091961
182,667.2973632182228,459.5777101091961,667.2973632182228,459.5777101091961
182,667.2973632182228,459.5777101091961,667.2973632182228,459.5777101091961
182,667.2973632182228,459.5777101091961,667.2973632182228,459.5777101091961
182,667.2973632182228,459.5777101091961,667.2973632182228,459.5777101091961
182,667.2973632182228,459.5777101091961,667.2973632182228,459.5777101091961
182,667.2973632182228,459.5777101091961,667.2973632182228,459.5777101091961
182,667.2973632182228,459.5777101091961,667.2973632182228,459.5777101091961
182,667.2973632182228,459.5777101091961,669.9984562254656,460.8831206064053
182,669.9984562254656,460.8831206064053,672.8242107307876,461.890648013304
182,672.8242107307876,461.890648013304,672.8242107307876,461.890648013304
182,672.8242107307876,461.890648013304,672.8242107307876,461.890648013304
182,672.8242107307876,461.890648013304,672.8242107307876,461.890648013304
182,672.8242107307876,461.890648013304,672.8242107307876,461.890648013304
182,672.8242107307876,461.890648013304,672.8242107307876,461.890648013304
182,672.8242107307876,461.890648013304,672.8242107307876,461.890648013304
182,672.8242107307876,461.890648013304,672.8242107307876,461.890648013304
182,672.8242107307876,461.890648013304,672.8242107307876,461.890648013304
182,672.8242107307876,461.890648013304,672.8242107307876,461.890648013304
182,672.8242107307876,461.890648013304,672.8242107307876,461.890648013304
182,672.8242107307876,461.890648013304,672.8242107307876,461.890648013304
182,672.8242107307876,461.890648013304,672.1827425902828,464.8212654609961
182,672.1827425902828,464.8212654609961,672.1827425902828,464.8212654609961
182,672.1827425902828,464.8212654609961,672.1827425902828,464.8212654609961
182,672.1827425902828,464.8212654609961,672.1827425902828,464.8212654609961
182,672.1827425902828,464.8212654609961,672.1827425902828,464.8212654609961
182,672.1827425902828,464.8212654609961,672.1827425902828,464.8212654609961
182,672.1827425902828,464.8212654609961,672.1827425902828,464.8212654609961
182,672.1827425902828,464.8212654609961,672.1827425902828,464.8212654609961
182,672.1827425902828,464.8212654609961,672.1827425902828,464.8212654609961
182,672.1827425902828,464.8212654609961,672.1827425902828,464.8212654609961
182,672.1827425902828,464.8212654609961,672.1827425902828,464.8212654609961
182,672.1827425902828,464.8212654609961,672.1827425902828,464.8212654609961
182,672.1827425902828,464.8212654609961,672.1827425902828,464.8212654609961
182,672.1827425902828,464.8212654609961,672.1827425902828,464.8212654609961
182,672.1827425902828,464.8212654609961,675.0611728709358,463.9759021548254
182,675.0611728709358,463.9759021548254,675.0611728709358,463.9759021548254
182,675.0611728709358,463.9759021548254,677.1824932144955,466.09722249838507
182,677.1824932144955,466.09722249838507,679.3038135580551,468.2185428419447
