creatureKey,objectType,distance,angle,time
182,GREEN_APPLE,59.980697408364726,-0.9715371111297448,1782743842897
182,GREEN_APPLE,59.065547358786645,-1.0710550387967108,1782743843492
182,GREEN_APPLE,35.88685299450662,-0.44696723902615454,1782743843504
182,GREEN_APPLE,61.95087319347205,-1.0846360014514806,1782743844112
182,GREEN_APPLE,37.80608699597849,-0.5095762668266725,1782743844215
182,GREEN_APPLE,40.121327186215645,-0.3352079177251977,1782743843218
182,GREEN_APPLE,35.88685299450662,-0.44696723902615454,1782743843518
182,GREEN_APPLE,35.88685299450662,-0.44696723902615454,1782743843572
182,GREEN_APPLE,61.95087319347205,-1.0846360014514806,1782743843863
182,GREEN_APPLE,22.382327685181696,-1.7115787690432016,1782743847705
182,GREEN_APPLE,25.635174636720528,-2.0476583273061966,1782743848645
182,GREEN_APPLE,25.635174636720528,-2.0476583273061966,1782743848666
182,GREEN_APPLE,25.635174636720528,-2.0476583273061966,1782743848668
182,GREEN_APPLE,25.635174636720528,-2.0476583273061966,1782743848670
182,GREEN_APPLE,28.6140388797415,-2.0345328941263636,1782743849144
182,GREEN_APPLE,23.26422814607277,-1.9723731788092875,1782743848420
182,GREEN_APPLE,23.26422814607277,-1.9723731788092875,1782743848480
182,GREEN_APPLE,23.26422814607277,-1.9723731788092875,1782743848572
182,GREEN_APPLE,23.26422814607277,-1.9723731788092875,1782743848576
182,GREEN_APPLE,23.26422814607277,-1.9723731788092875,1782743848578
182,GREEN_APPLE,25.635174636720528,-2.0476583273061966,1782743848895
182,GREEN_APPLE,28.6140388797415,-2.0345328941263636,1782743848948
182,GREEN_APPLE,28.6140388797415,-2.0345328941263636,1782743848950
182,GREEN_APPLE,28.6140388797415,-2.0345328941263636,1782743848951
182,GREEN_APPLE,28.6140388797415,-2.0345328941263636,1782743848953
182,GREEN_APPLE,25.635174636720528,-2.0476583273061966,1782743848693
182,GREEN_APPLE,28.6140388797415,-2.0345328941263636,1782743849056
182,GREEN_APPLE,28.6140388797415,-2.0345328941263636,1782743849086
182,GREEN_APPLE,23.26422814607277,-1.9723731788092875,1782743848478
182,GREEN_APPLE,22.236088480633658,-2.0872833928798817,1782743849561
182,GREEN_APPLE,22.236088480633658,-2.0872833928798817,1782743849612
