creatureKey,regulatingCount,batches
353,0,903
353,1,28
353,2,14
353,3,13
353,4,15
353,5,44
353,6,9
353,7,4
353,8,7
353,9,8
353,10,15
353,11,5
353,12,1
353,13,5
353,14,2
353,15,13
353,16,2
353,17,3
353,18,2
353,19,1
353,20,5
353,21,3
353,22,1
353,23,2
353,24,1
353,25,4
353,26,3
353,27,1
353,29,4
353,30,4
353,32,1
353,34,2
353,39,1
353,43,1
353,44,1
353,45,1
353,46,1
353,48,1
353,50,1
353,52,2
353,53,1
353,54,1
353,58,1
353,62,1
353,66,1
353,67,2
353,68,1
353,69,2
353,79,1
353,85,1
353,88,1
353,89,1
353,112,1
353,122,1
353,126,1
353,141,1
353,169,1
