creature_key,onset_cycle,batch_index,batch_size,loss
181,14,0,16,0.0023436914
181,14,1,9,0.0021369236
181,27,0,16,0.0022305949
181,27,1,16,0.0010074454
181,27,2,16,8.619347E-4
181,27,3,16,3.3987296E-4
181,27,4,6,0.0029246677
181,49,0,16,0.002171292
181,49,1,16,0.0010160488
181,49,2,16,8.648323E-4
181,49,3,16,3.405238E-4
181,49,4,16,7.146716E-4
181,49,5,16,2.4903406E-4
181,49,6,7,0.0018311839
181,64,0,16,0.001917918
181,64,1,16,3.2359452E-4
181,64,2,16,6.126528E-4
181,64,3,16,0.0010390579
181,64,4,16,8.696478E-5
181,64,5,16,8.29792E-4
181,64,6,16,7.691744E-5
181,64,7,16,7.397174E-4
181,84,0,16,5.465771E-4
181,84,1,16,0.0010019585
181,84,2,16,9.8046214E-5
181,84,3,16,8.0678466E-4
181,84,4,16,8.637163E-5
181,84,5,16,7.259769E-4
181,84,6,16,6.4310625E-5
181,84,7,16,8.101695E-4
181,99,0,16,5.382758E-4
181,99,1,16,9.87988E-4
181,99,2,16,9.676803E-5
181,99,3,16,7.9724117E-4
181,99,4,16,8.5508545E-5
181,99,5,16,7.1125105E-4
181,99,6,16,6.374925E-5
181,99,7,16,8.006954E-4
181,111,0,16,1.2804073E-4
181,111,1,16,7.44254E-4
181,111,2,16,1.1020761E-4
181,111,3,16,6.7351677E-4
181,111,4,16,8.279259E-5
181,111,5,16,7.739357E-4
181,111,6,16,7.531137E-5
181,111,7,16,0.0010628399
181,124,0,16,1.3871262E-4
181,124,1,16,6.4227456E-4
181,124,2,16,1.0524579E-4
181,124,3,16,7.380092E-4
181,124,4,16,9.596611E-5
181,124,5,16,0.0010277497
181,124,6,16,7.141266E-5
181,124,7,16,0.0010151372
181,140,0,16,1.3604347E-4
181,140,1,16,6.31563E-4
181,140,2,16,1.03214035E-4
181,140,3,16,7.2762585E-4
181,140,4,16,9.403435E-5
181,140,5,16,0.001018716
181,140,6,16,7.020048E-5
181,140,7,16,0.001003166
181,152,0,16,1.3344189E-4
181,152,1,16,6.222887E-4
181,152,2,16,1.0144223E-4
181,152,3,16,7.201131E-4
181,152,4,16,9.268564E-5
181,152,5,16,0.001009281
181,152,6,16,6.931142E-5
181,152,7,16,9.933504E-4
181,164,0,16,1.3469838E-4
181,164,1,16,6.727268E-4
181,164,2,16,1.19956574E-4
181,164,3,16,9.5182616E-4
181,164,4,16,8.995113E-5
181,164,5,16,9.4226777E-4
181,164,6,16,7.083546E-5
181,164,7,16,0.0010014693
181,176,0,16,1.3303373E-4
181,176,1,16,6.663809E-4
181,176,2,16,1.1879024E-4
181,176,3,16,9.432685E-4
181,176,4,16,8.911942E-5
181,176,5,16,9.322016E-4
181,176,6,16,7.01455E-5
181,176,7,16,9.921879E-4
181,189,0,16,1.6004695E-4
181,189,1,16,8.6306036E-4
181,189,2,16,1.16779054E-4
181,189,3,16,8.8348205E-4
181,189,4,16,9.057963E-5
181,189,5,16,9.479046E-4
181,189,6,16,6.355248E-5
181,189,7,16,9.942512E-4
181,203,0,16,1.5306145E-4
181,203,1,16,8.148387E-4
181,203,2,16,1.2047523E-4
181,203,3,16,8.7657815E-4
181,203,4,16,8.420728E-5
181,203,5,16,0.0010014034
181,203,6,16,7.3392E-5
181,203,7,16,6.656339E-4
181,217,0,16,1.51682E-4
181,217,1,16,8.0742035E-4
181,217,2,16,1.2023942E-4
181,217,3,16,8.6552766E-4
181,217,4,16,8.407481E-5
181,217,5,16,9.710185E-4
181,217,6,16,6.9950074E-5
181,217,7,16,6.6212623E-4
181,232,0,16,1.5241925E-4
181,232,1,16,8.047818E-4
181,232,2,16,1.2034417E-4
181,232,3,16,8.607759E-4
181,232,4,16,8.3466904E-5
181,232,5,16,9.3524146E-4
181,232,6,16,6.95112E-5
181,232,7,16,6.599981E-4
181,246,0,16,1.5009304E-4
181,246,1,16,8.012543E-4
181,246,2,16,1.1933482E-4
