id,batch_index,batch_size,creature_key,loss,onset_cycle
2554,1,7,181,4.1615777015686035,13
2553,0,16,181,4.121999740600586,13
3229,1,15,182,3.579991102218628,16
3228,0,16,182,3.6568870544433594,16
4492,1,16,180,3.0984292030334473,14
4491,0,16,180,4.473593711853027,14
4493,2,1,180,6.182057857513428,14
6174,2,7,181,4.159895420074463,26
6172,0,16,181,4.116024971008301,26
6173,1,16,181,2.5743913650512695,26
7973,3,9,182,3.695735454559326,28
7972,2,16,182,0.7263249754905701,28
7970,0,16,182,3.6524243354797363,28
7971,1,16,182,3.3568761348724365,28
9388,3,6,180,4.4179158210754395,26
9386,1,16,180,3.092958927154541,26
9387,2,16,180,1.4580656290054321,26
9385,0,16,180,4.4636054039001465,26
10741,0,16,180,4.464948654174805,38
10743,2,16,180,1.4577226638793945,38
10744,3,6,180,4.415315628051758,38
10742,1,16,180,3.0932908058166504,38
12307,4,2,181,5.750112056732178,38
12306,3,16,181,1.9367338418960571,38
12303,0,16,181,4.1128458976745605,38
12304,1,16,181,2.573021411895752,38
12305,2,16,181,1.9516910314559937,38
13708,5,11,182,3.3071227073669434,52
13707,4,16,182,0.5493120551109314,52
13703,0,16,182,3.649559497833252,52
13704,1,16,182,3.3563730716705322,52
13705,2,16,182,0.7261605262756348,52
13706,3,16,182,2.0899658203125,52
15966,1,16,180,3.0919220447540283,50
15965,0,16,180,4.464899063110352,50
15970,5,8,180,3.9169487953186035,50
15969,4,16,180,0.8347746133804321,50
15967,2,16,180,1.456817626953125,50
15968,3,16,180,1.6928136348724365,50
17330,4,16,181,0.8395350575447083,50
17326,0,16,181,4.110662460327148,50
17327,1,16,181,2.5726633071899414,50
17332,6,4,181,5.016493797302246,50
17328,2,16,181,1.9515265226364136,50
17331,5,16,181,1.4606428146362305,50
17329,3,16,181,1.9359352588653564,50
20128,1,16,182,3.3550853729248047,64
20132,5,16,182,2.2798635959625244,64
20133,6,16,182,0.4157778024673462,64
20134,7,13,182,2.977126121520996,64
20127,0,16,182,3.649533987045288,64
20129,2,16,182,0.7255252003669739,64
20131,4,16,182,0.5493269562721252,64
20130,3,16,182,2.0883219242095947,64
22309,6,4,181,5.0147552490234375,63
22307,4,16,181,0.8389987945556641,63
22308,5,16,181,1.4605015516281128,63
22306,3,16,181,1.9342007637023926,63
22305,2,16,181,1.9500924348831177,63
22303,0,16,181,4.109584331512451,63
22304,1,16,181,2.570223569869995,63
25043,6,16,180,0.6315955519676208,65
25040,4,16,180,0.8344202041625977,65
25044,7,10,180,3.491161346435547,65
25000,1,16,180,3.0908966064453125,65
25042,5,16,180,1.976876139640808,65
24850,0,16,180,4.461673259735107,65
25039,3,16,180,1.6924880743026733,65
25001,2,16,180,1.4565455913543701,65
26326,3,16,181,2.349444627761841,78
26325,2,16,181,0.8378729820251465,78
26322,0,16,181,3.8347392082214355,78
