id,aborted,batches_completed,creature_key,engram_count,mean_eligibility,onset_cycle,std_eligibility
2552,f,2,181,23,0.6803130771555795,13,0.20889265427569345
3227,f,2,182,31,0.59913303998861,16,0.23110135025421802
4490,f,3,180,33,0.6366415288755128,14,0.25576735038972215
6171,f,3,181,39,0.5777332497074829,26,0.26371524944491614
7969,f,4,182,57,0.4576840561369248,28,0.29528796881170055
9384,f,4,180,54,0.5243311187839809,26,0.29832271456458737
10740,f,4,180,54,0.5243311187839809,38,0.29832271456458737
12302,f,5,181,66,0.45566164248261587,38,0.30534668923699626
13702,f,6,182,91,0.37080977146263944,52,0.30611285760841983
15951,f,6,180,88,0.40874520929125496,50,0.3211970502112397
17325,f,7,181,100,0.3772936640714811,50,0.31227331373257294
20126,f,8,182,125,0.3311950976511653,64,0.30275876044327704
22302,f,7,181,100,0.3772936640714811,63,0.31227331373257294
24849,f,8,180,122,0.357584232958409,65,0.3176618753150775
26302,f,8,181,128,0.3194854967535623,78,0.30131664905274846
28702,f,8,182,125,0.3311950976511653,76,0.30275876044327704
30991,f,8,180,128,0.26667434336535734,78,0.28641973182777436
32402,f,8,181,128,0.3194854967535623,91,0.30131664905274846
34402,f,8,182,128,0.23814032007847044,91,0.26891293956030754
36652,f,8,181,128,0.3194854967535623,103,0.30131664905274846
38610,f,8,180,128,0.26667434336535734,91,0.28641973182777436
40283,f,8,182,128,0.23814032007847044,104,0.26891293956030754
42084,f,8,181,128,0.23814032007847044,118,0.26891293956030754
43900,f,8,182,128,0.23814032007847044,117,0.26891293956030754
45843,f,8,180,128,0.23814032007847044,104,0.26891293956030754
47391,f,8,181,128,0.23814032007847044,131,0.26891293956030754
49964,f,8,182,128,0.23814032007847044,129,0.26891293956030754
51931,f,8,180,128,0.23814032007847044,116,0.26891293956030754
53447,f,8,180,128,0.23814032007847044,129,0.26891293956030754
55152,f,8,181,128,0.23814032007847044,145,0.26891293956030754
56797,f,8,182,128,0.23814032007847044,142,0.26891293956030754
59192,f,8,180,128,0.23814032007847044,143,0.26891293956030754
60852,f,8,181,128,0.23814032007847044,159,0.26891293956030754
62367,f,8,182,128,0.23814032007847044,156,0.26891293956030754
64245,f,8,182,128,0.23814032007847044,168,0.26891293956030754
66442,f,8,180,128,0.23814032007847044,156,0.26891293956030754
68262,f,8,181,128,0.23814032007847044,172,0.26891293956030754
70352,f,8,181,128,0.23814032007847044,185,0.26891293956030754
72682,f,8,182,128,0.23814032007847044,185,0.26891293956030754
74219,f,8,180,128,0.23814032007847044,171,0.26891293956030754
76564,f,8,181,128,0.23814032007847044,198,0.26891293956030754
78989,f,8,180,128,0.23814032007847044,184,0.26891293956030754
82202,f,8,182,128,0.23814032007847044,197,0.26891293956030754
83440,f,8,180,128,0.23814032007847044,197,0.26891293956030754
85580,f,8,181,128,0.23814032007847044,214,0.26891293956030754
86952,f,8,182,128,0.23814032007847044,211,0.26891293956030754
88427,f,8,182,128,0.23814032007847044,225,0.26891293956030754
89852,f,8,180,128,0.23814032007847044,211,0.26891293956030754
91954,f,8,181,128,0.23814032007847044,228,0.26891293956030754
93895,f,8,182,128,0.23814032007847044,237,0.26891293956030754
96111,f,8,181,128,0.23814032007847044,240,0.26891293956030754
97502,f,8,182,128,0.23814032007847044,249,0.26891293956030754
99497,f,8,181,128,0.23814032007847044,252,0.26891293956030754
101298,f,8,180,128,0.23814032007847044,226,0.26891293956030754
103102,f,8,182,128,0.23814032007847044,262,0.26891293956030754
104609,f,8,181,128,0.23814032007847044,267,0.26891293956030754
106578,f,8,182,128,0.23814032007847044,274,0.26891293956030754
108868,f,8,180,128,0.23814032007847044,242,0.26891293956030754
110780,f,8,182,128,0.23814032007847044,287,0.26891293956030754
112801,f,8,180,128,0.23814032007847044,255,0.26891293956030754
114381,f,8,181,128,0.23814032007847044,279,0.26891293956030754
116152,f,8,181,128,0.23814032007847044,293,0.26891293956030754
118792,f,8,182,128,0.23814032007847044,309,0.26891293956030754
120652,f,8,180,128,0.23814032007847044,268,0.26891293956030754
122402,f,8,182,128,0.23814032007847044,324,0.26891293956030754
123952,f,8,181,128,0.23814032007847044,309,0.26891293956030754
126152,f,8,181,128,0.23814032007847044,323,0.26891293956030754
128099,f,8,182,128,0.23814032007847044,337,0.26891293956030754
130205,f,8,180,128,0.23814032007847044,281,0.26891293956030754
132100,f,8,181,128,0.23814032007847044,336,0.26891293956030754
133761,f,8,180,128,0.23814032007847044,294,0.26891293956030754
135567,f,8,182,128,0.23814032007847044,353,0.26891293956030754
137152,f,8,182,128,0.23814032007847044,365,0.26891293956030754
139402,f,8,181,128,0.23814032007847044,350,0.26891293956030754
140952,f,8,180,128,0.23814032007847044,306,0.26891293956030754
142852,f,8,182,128,0.23814032007847044,377,0.26891293956030754
144751,f,8,181,128,0.23814032007847044,364,0.26891293956030754
147200,f,8,180,128,0.23814032007847044,319,0.26891293956030754
148898,f,8,182,128,0.23814032007847044,389,0.26891293956030754
150102,f,8,181,128,0.23814032007847044,376,0.26891293956030754
151738,f,8,182,128,0.23814032007847044,401,0.26891293956030754
153502,f,8,180,128,0.23814032007847044,336,0.26891293956030754
155782,f,8,181,128,0.23814032007847044,390,0.26891293956030754
157173,f,8,182,128,0.23814032007847044,417,0.26891293956030754
