id,borntime,deadtime,gender,father_key,father_sequential,mother_key,mother_sequential,creature_key,creature_sequential
3,1782295111823,1782295382968,f,,,,,180,0
1,1782295111823,1782295383121,f,,,,,182,0
2,1782295111823,1782295384111,f,,,,,181,0
