creatureKey,regulatingCount,batches
94,0,1443
94,1,317
94,2,206
94,3,146
94,4,120
94,5,255
94,6,63
94,7,45
94,8,34
94,9,19
94,10,51
94,11,10
94,12,17
94,13,10
94,14,7
94,15,23
94,16,13
94,17,11
94,18,6
94,19,5
94,20,11
94,21,6
94,22,7
94,23,2
94,24,2
94,25,10
94,26,3
94,27,6
94,28,1
94,29,4
94,30,3
94,32,1
94,33,5
94,34,3
94,35,3
94,36,2
94,37,1
94,38,2
94,39,1
94,40,2
94,41,1
94,44,2
94,45,2
94,46,1
94,49,1
94,50,2
94,51,1
94,55,2
94,56,1
94,64,1
94,65,1
94,66,1
94,69,1
94,80,1
94,91,1
94,94,1
