creatureKey,regulation_time,final_hunger,final_sleep,final_apathy,final_stress,final_pain,final_tedium,final_fear,final_curiosity,final_fertility
180,1782810170682,0.1815,0.1815,0.0,0.0,0.1815,0.1815,0.0,0.0,0.0
180,1782810170720,0.1815,0.18251570537953907,0.0,0.0,0.1815,0.1815,0.0,0.0,0.0
180,1782810170740,0.1815,0.18251570537953907,0.0,0.0,0.1815,0.18,0.0,0.0,0.0
180,1782810170759,0.183,0.18401570537953907,0.0,0.0,0.183,0.1815,0.0,0.0,0.0
180,1782810170765,0.183,0.1850471006393037,0.0,0.0,0.183,0.1815,0.0,0.0,0.0
180,1782810170801,0.183,0.18,0.0,0.0,0.183,0.1815,0.0,0.0,0.0
180,1782810170809,0.1845,0.1815,0.0,0.0,0.1845,0.183,0.0,0.0,0.0
180,1782810170831,0.1845,0.18254705415665926,0.0,0.0,0.1845,0.183,0.0,0.0,0.0
180,1782810170849,0.186,0.18404705415665926,0.0,0.0,0.186,0.1845,0.0,0.0,0.0
180,1782810170869,0.186,0.1851097207734414,0.0,0.0,0.186,0.1845,0.0,0.0,0.0
180,1782810170878,0.1875,0.1866097207734414,0.0,0.0,0.1875,0.186,0.0,0.0,0.0
180,1782810170903,0.1875,0.1876879380059615,0.0,0.0,0.1875,0.186,0.0,0.0,0.0
180,1782810170907,0.1875,0.18,0.0,0.0,0.1875,0.186,0.0,0.0,0.0
180,1782810170935,0.189,0.1815,0.0,0.0,0.189,0.1875,0.0,0.0,0.0
180,1782810170947,0.189,0.18259369065729286,0.0,0.0,0.189,0.1875,0.0,0.0,0.0
180,1782810170954,0.1905,0.18409369065729286,0.0,0.0,0.1905,0.189,0.0,0.0,0.0
180,1782810170964,0.1905,0.18520276227799112,0.0,0.0,0.1905,0.189,0.0,0.0,0.0
180,1782810170970,0.1905,0.18520276227799112,0.0,0.0,0.1905,0.209,0.0,0.0,0.0
180,1782810171081,0.192,0.18670276227799112,0.0,0.0,0.192,0.2105,0.0,0.0,0.0
180,1782810171086,0.192,0.18782710722157356,0.0,0.0,0.192,0.2105,0.0,0.0,0.0
180,1782810171093,0.192,0.18782710722157356,0.0,0.0,0.192,0.23049999999999998,0.0,0.0,0.0
180,1782810171129,0.1935,0.18932710722157356,0.0,0.0,0.1935,0.23199999999999998,0.0,0.0,0.0
180,1782810171133,0.1935,0.19046660277459318,0.0,0.0,0.1935,0.23199999999999998,0.0,0.0,0.0
180,1782810171233,0.1935,0.18,0.0,0.0,0.1935,0.23199999999999998,0.0,0.0,0.0
180,1782810171244,0.195,0.1815,0.0,0.0,0.195,0.23349999999999999,0.0,0.0,0.0
180,1782810171249,0.195,0.18265450849718748,0.0,0.0,0.195,0.23349999999999999,0.0,0.0,0.0
180,1782810171303,0.195,0.18,0.0,0.0,0.195,0.23349999999999999,0.0,0.0,0.0
180,1782810171308,0.195,0.18,0.0,0.0,0.195,0.23349999999999999,0.0,0.0,0.0
180,1782810171314,0.195,0.18,0.0,0.0,0.195,0.23349999999999999,0.0,0.0,0.0
180,1782810171324,0.1965,0.1815,0.0,0.0,0.1965,0.235,0.0,0.0,0.0
180,1782810171335,0.1965,0.18266936896012265,0.0,0.0,0.1965,0.235,0.0,0.0,0.0
180,1782810171362,0.1965,0.18266936896012265,0.0,0.0,0.1965,0.185,0.0,0.0,0.0
180,1782810171390,0.1965,0.18,0.0,0.0,0.1965,0.185,0.0,0.0,0.0
180,1782810171401,0.198,0.1815,0.0,0.0,0.198,0.1865,0.0,0.0,0.0
180,1782810171407,0.198,0.18268406227634235,0.0,0.0,0.198,0.1865,0.0,0.0,0.0
180,1782810171415,0.1995,0.18418406227634235,0.0,0.0,0.1995,0.188,0.0,0.0,0.0
180,1782810171418,0.1995,0.18538263622165974,0.0,0.0,0.1995,0.188,0.0,0.0,0.0
180,1782810171446,0.201,0.18688263622165974,0.0,0.0,0.201,0.1895,0.0,0.0,0.0
180,1782810171449,0.201,0.18809552586744227,0.0,0.0,0.201,0.1895,0.0,0.0,0.0
180,1782810171498,0.201,0.18809552586744227,0.0,0.0,0.201,0.2095,0.0,0.0,0.0
180,1782810171513,0.2025,0.18959552586744227,0.0,0.0,0.2025,0.211,0.0,0.0,0.0
180,1782810171515,0.2025,0.19082252111731204,0.0,0.0,0.2025,0.211,0.0,0.0,0.0
180,1782810171519,0.2025,0.19082252111731204,0.0,0.0,0.2025,0.18,0.0,0.0,0.0
180,1782810171524,0.2025,0.18,0.0,0.0,0.2025,0.18,0.0,0.0,0.0
180,1782810171533,0.2025,0.18,0.0,0.0,0.2025,0.18,0.0,0.0,0.0
180,1782810171537,0.2025,0.18,0.0,0.0,0.2025,0.18,0.0,0.0,0.0
180,1782810171610,0.2025,0.18,0.0,0.0,0.2025,0.18,0.0,0.0,0.0
180,1782810171617,0.20400000000000001,0.1815,0.0,0.0,0.20400000000000001,0.1815,0.0,0.0,0.0
180,1782810171699,0.20400000000000001,0.18274087683705084,0.0,0.0,0.20400000000000001,0.1815,0.0,0.0,0.0
180,1782810171702,0.20400000000000001,0.18274087683705084,0.0,0.0,0.20400000000000001,0.20149999999999998,0.0,0.0,0.0
180,1782810171725,0.20400000000000001,0.18,0.0,0.0,0.20400000000000001,0.20149999999999998,0.0,0.0,0.0
180,1782810171762,0.20550000000000002,0.1815,0.0,0.0,0.20550000000000002,0.20299999999999999,0.0,0.0,0.0
180,1782810171764,0.20550000000000002,0.18275452070787518,0.0,0.0,0.20550000000000002,0.20299999999999999,0.0,0.0,0.0
180,1782810171765,0.20550000000000002,0.18275452070787518,0.0,0.0,0.20550000000000002,0.18,0.0,0.0,0.0
180,1782810171768,0.20700000000000002,0.18425452070787518,0.0,0.0,0.20700000000000002,0.1815,0.0,0.0,0.0
180,1782810171770,0.20700000000000002,0.18552243410536468,0.0,0.0,0.20700000000000002,0.1815,0.0,0.0,0.0
180,1782810171773,0.20850000000000002,0.18702243410536468,0.0,0.0,0.20850000000000002,0.183,0.0,0.0,0.0
180,1782810171777,0.20850000000000002,0.18830347579429074,0.0,0.0,0.20850000000000002,0.183,0.0,0.0,0.0
180,1782810171780,0.21000000000000002,0.18980347579429074,0.0,0.0,0.21000000000000002,0.1845,0.0,0.0,0.0
180,1782810171794,0.21000000000000002,0.19109736842043698,0.0,0.0,0.21000000000000002,0.1845,0.0,0.0,0.0
180,1782810171837,0.21000000000000002,0.19109736842043698,0.0,0.0,0.21000000000000002,0.18,0.0,0.0,0.0
180,1782810171876,0.21150000000000002,0.19259736842043698,0.0,0.0,0.21150000000000002,0.1815,0.0,0.0,0.0
180,1782810171887,0.21150000000000002,0.19390382194726347,0.0,0.0,0.21150000000000002,0.1815,0.0,0.0,0.0
180,1782810171898,0.21300000000000002,0.19540382194726347,0.0,0.0,0.21300000000000002,0.183,0.0,0.0,0.0
180,1782810171908,0.21300000000000002,0.19672253394213782,0.0,0.0,0.21300000000000002,0.183,0.0,0.0,0.0
180,1782810171912,0.21300000000000002,0.19672253394213782,0.0,0.0,0.21300000000000002,0.20299999999999999,0.0,0.0,0.0
180,1782810171914,0.21450000000000002,0.19822253394213782,0.0,0.0,0.21450000000000002,0.2045,0.0,0.0,0.0
180,1782810171924,0.21450000000000002,0.19955318987479964,0.0,0.0,0.21450000000000002,0.2045,0.0,0.0,0.0
180,1782810171929,0.21600000000000003,0.20105318987479964,0.0,0.0,0.21600000000000003,0.206,0.0,0.0,0.0
180,1782810171973,0.21600000000000003,0.202395463427764,0.0,0.0,0.21600000000000003,0.206,0.0,0.0,0.0
180,1782810171975,0.21600000000000003,0.202395463427764,0.0,0.0,0.21600000000000003,0.18,0.0,0.0,0.0
180,1782810171979,0.21750000000000003,0.203895463427764,0.0,0.0,0.21750000000000003,0.1815,0.0,0.0,0.0
180,1782810171982,0.21750000000000003,0.20524901681835728,0.0,0.0,0.21750000000000003,0.1815,0.0,0.0,0.0
180,1782810172007,0.21750000000000003,0.18,0.0,0.0,0.21750000000000003,0.1815,0.0,0.0,0.0
180,1782810172008,0.21750000000000003,0.18,0.0,0.0,0.21750000000000003,0.18,0.0,0.0,0.0
180,1782810172018,0.21750000000000003,0.18,0.0,0.0,0.21750000000000003,0.18,0.0,0.0,0.0
180,1782810172026,0.21900000000000003,0.1815,0.0,0.0,0.21900000000000003,0.1815,0.0,0.0,0.0
180,1782810172094,0.21900000000000003,0.1828644843137107,0.0,0.0,0.21900000000000003,0.1815,0.0,0.0,0.0
180,1782810172103,0.21900000000000003,0.18,0.0,0.0,0.21900000000000003,0.1815,0.0,0.0,0.0
180,1782810172106,0.22050000000000003,0.1815,0.0,0.0,0.22050000000000003,0.183,0.0,0.0,0.0
180,1782810172108,0.22050000000000003,0.18287505553481523,0.0,0.0,0.22050000000000003,0.183,0.0,0.0,0.0
180,1782810172109,0.22050000000000003,0.18287505553481523,0.0,0.0,0.22050000000000003,0.20299999999999999,0.0,0.0,0.0
180,1782810172111,0.22200000000000003,0.18437505553481523,0.0,0.0,0.22200000000000003,0.2045,0.0,0.0,0.0
180,1782810172132,0.22200000000000003,0.18576031215620312,0.0,0.0,0.22200000000000003,0.2045,0.0,0.0,0.0
180,1782810172135,0.22200000000000003,0.18576031215620312,0.0,0.0,0.22200000000000003,0.18,0.0,0.0,0.0
180,1782810172143,0.22350000000000003,0.18726031215620312,0.0,0.0,0.22350000000000003,0.1815,0.0,0.0,0.0
180,1782810172156,0.22350000000000003,0.18865538966239095,0.0,0.0,0.22350000000000003,0.1815,0.0,0.0,0.0
180,1782810172161,0.22500000000000003,0.19015538966239096,0.0,0.0,0.22500000000000003,0.183,0.0,0.0,0.0
180,1782810172193,0.22500000000000003,0.19155989815957844,0.0,0.0,0.22500000000000003,0.183,0.0,0.0,0.0
180,1782810172209,0.22500000000000003,0.19155989815957844,0.0,0.0,0.22500000000000003,0.20299999999999999,0.0,0.0,0.0
180,1782810172288,0.22500000000000003,0.18,0.0,0.0,0.22500000000000003,0.20299999999999999,0.0,0.0,0.0
180,1782810172298,0.22650000000000003,0.1815,0.0,0.0,0.22650000000000003,0.2045,0.0,0.0,0.0
180,1782810172329,0.22650000000000003,0.18291354028713727,0.0,0.0,0.22650000000000003,0.2045,0.0,0.0,0.0
180,1782810172333,0.22800000000000004,0.18441354028713727,0.0,0.0,0.22800000000000004,0.206,0.0,0.0,0.0
180,1782810172393,0.22800000000000004,0.18,0.0,0.0,0.22800000000000004,0.206,0.0,0.0,0.0
180,1782810172396,0.22800000000000004,0.181422163962751,0.0,0.0,0.22800000000000004,0.206,0.0,0.0,0.0
180,1782810172398,0.22950000000000004,0.182922163962751,0.0,0.0,0.22950000000000004,0.2075,0.0,0.0,0.0
180,1782810172416,0.22950000000000004,0.18435253497625295,0.0,0.0,0.22950000000000004,0.2075,0.0,0.0,0.0
180,1782810172419,0.23100000000000004,0.18585253497625295,0.0,0.0,0.23100000000000004,0.209,0.0,0.0,0.0
180,1782810172421,0.23100000000000004,0.18729068831627488,0.0,0.0,0.23100000000000004,0.209,0.0,0.0,0.0
180,1782810172428,0.23100000000000004,0.18,0.0,0.0,0.23100000000000004,0.209,0.0,0.0,0.0
180,1782810172448,0.23100000000000004,0.18,0.0,0.0,0.23100000000000004,0.22899999999999998,0.0,0.0,0.0
180,1782810172451,0.23100000000000004,0.18,0.0,0.0,0.23100000000000004,0.22899999999999998,0.0,0.0,0.0
180,1782810172455,0.23250000000000004,0.1815,0.0,0.0,0.23250000000000004,0.23049999999999998,0.0,0.0,0.0
180,1782810172461,0.23250000000000004,0.1829455032620942,0.0,0.0,0.23250000000000004,0.23049999999999998,0.0,0.0,0.0
180,1782810172512,0.23250000000000004,0.18,0.0,0.0,0.23250000000000004,0.23049999999999998,0.0,0.0,0.0
180,1782810172515,0.23250000000000004,0.18,0.0,0.0,0.23250000000000004,0.23049999999999998,0.0,0.0,0.0
180,1782810172517,0.23250000000000004,0.18,0.0,0.0,0.23250000000000004,0.2505,0.0,0.0,0.0
