id,borntime,deadtime,gender,father_key,father_sequential,mother_key,mother_sequential,creature_key,creature_sequential
3,1782235619239,1782239999814,f,,,,,182,0
1,1782235619239,1782240048162,f,,,,,181,0
2,1782235619239,1782240052590,f,,,,,180,0
