id,batch_index,batch_size,creature_key,loss,onset_cycle
552,0,1,180,5.849635601043701,1
2186,0,16,181,4.444857120513916,14
2187,1,6,181,4.249523162841797,14
3719,1,13,182,2.908783197402954,18
3718,0,16,182,4.603686809539795,18
5144,0,16,180,4.751230716705322,15
5146,2,11,180,3.208881139755249,15
5145,1,16,180,4.298633098602295,15
6454,1,16,181,2.5111942291259766,27
6453,0,16,181,4.438454627990723,27
6455,2,6,181,4.253963470458984,27
7555,1,16,180,4.297954082489014,28
7553,0,16,180,4.746555805206299,28
7556,2,16,180,2.557915687561035,28
7557,3,10,180,3.392346143722534,28
9927,0,16,182,4.597050666809082,32
9931,4,16,182,1.685939908027649,32
9932,5,15,182,2.6333484649658203,32
9929,2,16,182,2.1892383098602295,32
9930,3,16,182,1.599399209022522,32
9928,1,16,182,2.4499433040618896,32
11746,1,16,181,2.51141357421875,40
11747,2,16,181,1.7441117763519287,40
11749,4,3,181,5.1082234382629395,40
11748,3,16,181,1.6572959423065186,40
11745,0,16,181,4.436315536499023,40
13812,0,16,180,4.743274211883545,43
13813,1,16,180,4.294365406036377,43
13816,4,16,180,0.4756523370742798,43
13817,5,12,180,3.0427451133728027,43
13814,2,16,180,2.555605888366699,43
13815,3,16,180,2.1492745876312256,43
15918,5,16,182,2.4222006797790527,44
15914,1,16,182,2.4168195724487305,44
15913,0,16,182,4.296580791473389,44
15917,4,16,182,1.5274295806884766,44
15916,3,16,182,1.442478895187378,44
15920,7,16,182,2.5055181980133057,44
15919,6,16,182,0.27321749925613403,44
15915,2,16,182,2.50998592376709,44
17757,4,16,180,0.4757092595100403,58
17753,0,16,180,4.743611812591553,58
17754,1,16,180,4.2952470779418945,58
17756,3,16,180,2.1505396366119385,58
17755,2,16,180,2.557018280029297,58
17758,5,12,180,3.041323184967041,58
19657,3,16,181,1.6563668251037598,57
19656,2,16,181,1.7429498434066772,57
19658,4,16,181,1.0865042209625244,57
19654,0,16,181,4.438858509063721,57
19655,1,16,181,2.5109505653381348,57
19660,6,5,181,4.505456924438477,57
19659,5,16,181,1.253389835357666,57
21121,2,16,180,2.555108070373535,73
21123,4,16,180,0.4753589928150177,73
21124,5,12,180,3.040069818496704,73
21120,1,16,180,4.293416500091553,73
21122,3,16,180,2.148550510406494,73
21118,0,16,180,4.742753982543945,73
22753,0,16,182,4.291197299957275,56
22759,6,16,182,0.273229718208313,56
22758,5,16,182,2.421863317489624,56
22757,4,16,182,1.5270254611968994,56
22760,7,16,182,2.505232095718384,56
22756,3,16,182,1.442298173904419,56
22755,2,16,182,2.508746385574341,56
22754,1,16,182,2.4151227474212646,56
24716,2,16,182,0.47526320815086365,69
24721,4,16,182,0.35996702313423157,69
24724,7,16,182,2.5076169967651367,69
24718,3,16,182,2.2976996898651123,69
24714,0,16,182,0.6279951930046082,69
24715,1,16,182,2.1465296745300293,69
24722,5,16,182,2.419243097305298,69
24723,6,16,182,0.27290573716163635,69
27439,2,16,181,0.4750942587852478,74
27441,3,16,181,2.300689935684204,74
27436,0,16,181,4.020828723907471,74
27445,7,16,181,2.511340856552124,74
27444,6,16,181,0.27312371134757996,74
27443,5,16,181,2.4165329933166504,74
27442,4,16,181,0.3605266213417053,74
27437,1,16,181,2.4718575477600098,74
29793,5,16,180,2.3004066944122314,86
29787,2,16,180,2.5539796352386475,86
29786,1,16,180,4.291165828704834,86
29785,0,16,180,4.740147113800049,86
29791,4,16,180,0.4754178524017334,86
29795,7,14,180,2.756105661392212,86
29788,3,16,180,2.1482560634613037,86
29794,6,16,180,0.36032068729400635,86
31015,4,16,182,0.3599185645580292,82
31011,0,16,182,0.6278544664382935,82
31017,6,16,182,0.2728678286075592,82
31013,2,16,182,0.47517645359039307,82
31016,5,16,182,2.418978691101074,82
31014,3,16,182,2.297337293624878,82
31012,1,16,182,2.1460683345794678,82
31018,7,16,182,2.507263422012329,82
32959,6,16,181,0.2731207609176636,87
32954,1,16,181,2.471071720123291,87
32955,2,16,181,0.4750373661518097,87
32960,7,16,181,2.509817361831665,87
32957,4,16,181,0.3605279326438904,87
32953,0,16,181,4.019452095031738,87
32956,3,16,181,2.3006744384765625,87
32958,5,16,181,2.41674542427063,87
35160,7,16,182,2.506652593612671,94
35153,0,16,182,0.6278374195098877,94
35159,6,16,182,0.27278608083724976,94
35157,4,16,182,0.35984209179878235,94
35158,5,16,182,2.4185264110565186,94
35156,3,16,182,2.2968666553497314,94
35154,1,16,182,2.14591121673584,94
35155,2,16,182,0.4751189947128296,94
36513,1,16,180,4.292449474334717,99
36516,2,16,180,2.5545947551727295,99
36521,5,16,180,2.3002068996429443,99
36522,6,16,180,0.36031386256217957,99
36518,3,16,180,2.148226022720337,99
36523,7,14,180,2.755946636199951,99
36510,0,16,180,4.7418036460876465,99
36520,4,16,180,0.47533366084098816,99
51724,6,16,182,0.27325209975242615,142
51720,2,16,182,0.47486117482185364,142
51721,3,16,182,2.298205852508545,142
51719,1,16,182,2.1400516033172607,142
51723,5,16,182,2.420067310333252,142
51722,4,16,182,0.35981684923171997,142
51718,0,16,182,0.6262534856796265,142
51725,7,16,182,2.5114974975585938,142
71581,3,16,180,2.300135612487793,186
71583,5,16,180,2.418564558029175,186
71584,6,16,180,0.27276724576950073,186
71582,4,16,180,0.3602888584136963,186
71585,7,16,180,2.506941080093384,186
71580,2,16,180,0.4750446677207947,186
71578,0,16,180,0.626800537109375,186
71579,1,16,180,2.1419084072113037,186
76958,3,16,180,2.300020933151245,199
76960,5,16,180,2.418091058731079,199
76957,2,16,180,0.47501108050346375,199
76962,7,16,180,2.506708860397339,199
76956,1,16,180,2.141596794128418,199
76955,0,16,180,0.6267264485359192,199
76959,4,16,180,0.36028623580932617,199
76961,6,16,180,0.27272963523864746,199
356708,6,16,181,0.27184268832206726,906
356705,3,16,181,2.293694257736206,906
356704,2,16,181,0.4738694429397583,906
356701,0,16,181,0.625098705291748,906
356706,4,16,181,0.35887423157691956,906
356709,7,16,181,2.4974441528320312,906
356703,1,16,181,2.135946035385132,906
356707,5,16,181,2.409250259399414,906
379007,4,16,182,0.35853928327560425,962
379004,1,16,182,2.1356308460235596,962
379009,6,16,182,0.2720736563205719,962
379006,3,16,182,2.2883107662200928,962
379008,5,16,182,2.407197952270508,962
379010,7,16,182,2.497668981552124,962
379003,0,16,182,0.6249198913574219,962
379005,2,16,182,0.4733476936817169,962
598685,0,16,182,0.6240754723548889,1517
598692,7,16,182,2.496764898300171,1517
598687,2,16,182,0.47251129150390625,1517
598689,4,16,182,0.3585682213306427,1517
598690,5,16,182,2.409822463989258,1517
598686,1,16,182,2.1318962574005127,1517
598691,6,16,182,0.2716459631919861,1517
598688,3,16,182,2.2892587184906006,1517
600108,5,16,180,2.409130811691284,1526
600110,7,16,180,2.4963345527648926,1526
600104,1,16,180,2.132746458053589,1526
