id,aborted,batches_completed,creature_key,engram_count,mean_eligibility,onset_cycle,std_eligibility
549,f,1,180,1,1,1,0
2185,f,2,181,22,0.7513704185516293,14,0.1891456097331598
3450,f,2,182,29,0.6564061949538562,18,0.257081209716868
5143,f,3,180,43,0.7173409957450404,15,0.21490586499940642
6452,f,3,181,38,0.6161722413723514,27,0.27438233694371605
7550,f,4,180,58,0.6483630824319007,28,0.25584026909241486
9926,f,6,182,95,0.43194806880742864,32,0.30849270073222884
11744,f,5,181,67,0.462700257012951,40,0.32490178339356224
13811,f,6,180,92,0.4919647476559316,43,0.33036313200551637
15900,f,8,182,128,0.3725840979687593,44,0.3077972842025368
17752,f,6,180,92,0.4919647476559316,58,0.33036313200551637
19652,f,7,181,101,0.3827387645857741,57,0.3262572920890617
21116,f,6,180,92,0.4919647476559316,73,0.33036313200551637
22752,f,8,182,128,0.3725840979687593,56,0.3077972842025368
24704,f,8,182,128,0.23814032007847044,69,0.26891293956030754
27434,f,8,181,128,0.317905804404431,74,0.3070496911135913
29783,f,8,180,126,0.41997186339397763,86,0.33586675995380977
31010,f,8,182,128,0.23814032007847044,82,0.26891293956030754
32952,f,8,181,128,0.317905804404431,87,0.3070496911135913
35152,f,8,182,128,0.23814032007847044,94,0.26891293956030754
36503,f,8,180,126,0.41997186339397763,99,0.33586675995380977
37952,f,8,181,128,0.23814032007847044,100,0.26891293956030754
40148,f,8,182,128,0.23814032007847044,110,0.26891293956030754
42326,f,8,181,128,0.23814032007847044,112,0.26891293956030754
44510,f,8,180,128,0.23814032007847044,114,0.26891293956030754
46502,f,8,182,128,0.23814032007847044,123,0.26891293956030754
48202,f,8,181,128,0.23814032007847044,126,0.26891293956030754
50152,f,8,180,128,0.23814032007847044,128,0.26891293956030754
51717,f,8,182,128,0.23814032007847044,142,0.26891293956030754
53570,f,8,181,128,0.23814032007847044,145,0.26891293956030754
54759,f,8,182,128,0.23814032007847044,161,0.26891293956030754
56323,f,8,181,128,0.23814032007847044,158,0.26891293956030754
57901,f,8,180,128,0.23814032007847044,148,0.26891293956030754
59488,f,8,182,128,0.23814032007847044,174,0.26891293956030754
60872,f,8,181,128,0.23814032007847044,170,0.26891293956030754
63561,f,8,180,128,0.23814032007847044,161,0.26891293956030754
65821,f,8,181,128,0.23814032007847044,185,0.26891293956030754
68002,f,8,180,128,0.23814032007847044,173,0.26891293956030754
69852,f,8,182,128,0.23814032007847044,188,0.26891293956030754
71577,f,8,180,128,0.23814032007847044,186,0.26891293956030754
73463,f,8,181,128,0.23814032007847044,200,0.26891293956030754
74778,f,8,182,128,0.23814032007847044,203,0.26891293956030754
76954,f,8,180,128,0.23814032007847044,199,0.26891293956030754
