creatureKey,regulatingCount,batches
93,0,1728
93,1,379
93,2,225
93,3,169
93,4,150
93,5,249
93,6,92
93,7,71
93,8,51
93,9,52
93,10,74
93,11,21
93,12,20
93,13,31
93,14,19
93,15,34
93,16,17
93,17,13
93,18,10
93,19,13
93,20,12
93,21,7
93,22,9
93,23,3
93,24,6
93,25,9
93,26,2
93,27,7
93,28,2
93,29,4
93,30,6
93,31,4
93,32,3
93,33,3
93,34,4
93,35,5
93,36,2
93,37,1
93,38,1
93,39,1
93,40,1
93,41,1
93,43,2
93,44,1
93,45,2
93,46,1
93,47,2
93,49,2
93,50,1
93,52,3
93,54,1
93,56,1
93,59,1
93,60,2
93,61,3
93,67,1
93,70,1
93,72,1
93,73,1
93,79,1
93,85,1
93,88,1
93,92,1
93,97,1
93,113,1
