creatureKey,regulatingCount,batches
347,0,644
347,1,29
347,2,17
347,3,10
347,4,8
347,5,57
347,6,4
347,7,2
347,9,5
347,10,12
347,11,3
347,12,2
347,13,2
347,15,3
347,16,1
347,17,1
347,18,3
347,19,2
347,20,5
347,21,1
347,23,1
347,24,5
347,25,2
347,26,1
347,27,1
347,28,1
347,31,1
347,32,1
347,33,2
347,35,1
347,37,1
347,39,2
347,40,1
347,41,1
347,43,1
347,45,1
347,47,1
347,52,1
347,54,1
347,55,1
347,58,1
347,67,1
347,69,1
347,71,1
347,84,1
347,85,1
347,87,1
347,89,1
347,100,1
347,101,1
347,114,1
347,134,1
347,193,1
