creatureKey,regulatingCount,batches
354,0,954
354,1,26
354,2,12
354,3,22
354,4,16
354,5,72
354,6,9
354,7,2
354,8,4
354,9,9
354,10,21
354,11,6
354,12,7
354,13,3
354,14,2
354,15,15
354,16,2
354,17,1
354,18,1
354,19,1
354,20,4
354,21,2
354,22,2
354,24,4
354,25,4
354,26,1
354,27,2
354,29,1
354,30,3
354,32,3
354,33,1
354,35,2
354,36,2
354,37,1
354,38,1
354,39,2
354,43,1
354,44,2
354,45,1
354,47,1
354,48,1
354,55,3
354,56,1
354,61,2
354,62,1
354,70,1
354,71,1
354,75,1
354,83,1
354,97,1
354,101,1
354,104,1
