creature_key,onset_cycle,wake_cycle,duration_ticks,engram_count,mean_eligibility,std_eligibility,batches_completed,aborted
180,4,15,10,3,0.8761362821837744,0.09893281538043465,1,false
180,17,28,10,21,0.5967800151489508,0.28160115399600677,2,false
180,31,42,10,49,0.4101660215253164,0.32035831072248144,4,false
180,49,60,10,83,0.3343835308197105,0.31280831882232957,6,false
180,63,77,13,83,0.3343835308197105,0.31280831882232957,6,false
180,78,90,11,117,0.30264556462676445,0.3040304501366817,8,false
180,91,103,11,117,0.30264556462676445,0.3040304501366817,8,false
180,105,116,10,128,0.23814032007847044,0.26891293956030754,8,false
180,120,131,10,128,0.23814032007847044,0.26891293956030754,8,false
180,132,143,10,128,0.23814032007847044,0.26891293956030754,8,false
180,145,156,10,128,0.23054035683708765,0.2609011440743639,8,false
180,159,171,11,128,0.23054035683708765,0.2609011440743639,8,false
180,172,183,10,128,0.23054035683708765,0.2609011440743639,8,false
180,185,196,10,128,0.23054035683708765,0.2609011440743639,8,false
180,200,214,13,128,0.23054035683708765,0.2609011440743639,8,false
180,215,226,10,128,0.23054035683708765,0.2609011440743639,8,false
180,227,241,13,128,0.23054035683708765,0.2609011440743639,8,false
180,245,256,10,128,0.222912880832023,0.2524281929688636,8,false
180,259,270,10,128,0.222912880832023,0.2524281929688636,8,false
180,272,284,11,128,0.23054035683708765,0.2609011440743639,8,false
180,288,299,10,128,0.23054035683708765,0.2609011440743639,8,false
180,304,315,10,128,0.23054035683708765,0.2609011440743639,8,false
180,317,328,10,128,0.23054035683708768,0.2609011440743639,8,false
180,329,340,10,128,0.23054035683708768,0.2609011440743639,8,false
180,342,355,12,128,0.23814032007847044,0.26891293956030754,8,false
180,357,368,10,128,0.23814032007847044,0.26891293956030754,8,false
180,370,382,11,128,0.23814032007847044,0.26891293956030754,8,false
180,384,396,11,128,0.23814032007847044,0.26891293956030754,8,false
180,400,411,10,128,0.23814032007847044,0.26891293956030754,8,false
180,413,424,10,128,0.23814032007847044,0.26891293956030754,8,false
180,425,436,10,128,0.23814032007847044,0.26891293956030754,8,false
180,439,450,10,128,0.23814032007847044,0.26891293956030754,8,false
180,451,465,13,128,0.23814032007847044,0.26891293956030754,8,false
180,469,481,11,128,0.23814032007847044,0.26891293956030754,8,false
180,490,503,12,128,0.23814032007847044,0.26891293956030754,8,false
180,504,515,10,128,0.23814032007847044,0.26891293956030754,8,false
180,516,529,12,128,0.23814032007847044,0.26891293956030754,8,false
180,535,546,10,128,0.23814032007847044,0.26891293956030754,8,false
180,548,559,10,128,0.23814032007847044,0.26891293956030754,8,false
180,561,574,12,128,0.23814032007847044,0.26891293956030754,8,false
180,575,588,12,128,0.23814032007847044,0.26891293956030754,8,false
180,593,605,11,128,0.23814032007847044,0.26891293956030754,8,false
180,606,618,11,128,0.23814032007847044,0.26891293956030754,8,false
180,619,630,10,128,0.23814032007847044,0.26891293956030754,8,false
180,631,643,11,128,0.23814032007847044,0.26891293956030754,8,false
180,647,658,10,128,0.23814032007847044,0.26891293956030754,8,false
180,659,670,10,128,0.23814032007847044,0.26891293956030754,8,false
180,677,692,14,128,0.23814032007847044,0.26891293956030754,8,false
180,696,708,11,128,0.23814032007847044,0.26891293956030754,8,false
180,709,721,11,128,0.23814032007847044,0.26891293956030754,4,true
180,723,734,10,128,0.23814032007847044,0.26891293956030754,8,false
180,736,748,11,128,0.23814032007847044,0.26891293956030754,8,false
180,750,761,10,128,0.23814032007847044,0.26891293956030754,8,false
180,765,777,11,128,0.23814032007847044,0.26891293956030754,8,false
180,779,791,11,128,0.23814032007847044,0.26891293956030754,8,false
180,796,807,10,128,0.23814032007847044,0.26891293956030754,8,false
180,808,819,10,128,0.23814032007847044,0.26891293956030754,8,false
180,820,831,10,128,0.23814032007847044,0.26891293956030754,8,false
180,832,843,10,128,0.23814032007847044,0.26891293956030754,8,false
180,844,855,10,128,0.23814032007847044,0.26891293956030754,8,false
180,856,867,10,128,0.23814032007847044,0.26891293956030754,8,false
180,872,883,10,128,0.23814032007847044,0.26891293956030754,8,false
180,886,897,10,128,0.23814032007847044,0.26891293956030754,8,false
180,898,911,12,128,0.23814032007847044,0.26891293956030754,8,false
180,914,926,11,128,0.23814032007847044,0.26891293956030754,8,false
180,927,938,10,128,0.23814032007847044,0.26891293956030754,8,false
180,940,951,10,128,0.23814032007847044,0.26891293956030754,8,false
180,952,963,10,128,0.23814032007847044,0.26891293956030754,8,false
180,965,977,11,128,0.23814032007847044,0.26891293956030754,8,false
180,979,990,10,128,0.23814032007847044,0.26891293956030754,8,false
180,993,1006,12,128,0.23814032007847044,0.26891293956030754,8,false
180,1009,1020,10,128,0.23814032007847044,0.26891293956030754,8,false
