time,target distance,affordance,memory,random,short term memory
3100.0,0,0,0,1,0
5185.0,0,1,0,1,0
6364.0,0,2,0,1,0
8371.0,0,3,0,1,0
9920.0,0,3,0,2,0
13205.0,0,3,0,3,0
13363.0,0,3,0,4,0
13428.0,0,3,0,5,0
14109.0,0,3,0,6,0
14635.0,0,3,0,7,0
14952.0,0,3,0,8,0
17523.0,0,4,0,8,0
17534.0,0,4,0,9,0
33888.0,0,5,0,9,0
33992.0,0,5,0,10,0
48796.0,0,6,0,10,0
48808.0,0,7,0,10,0
48841.0,0,8,0,10,0
63155.0,0,9,0,10,0
68541.0,0,10,0,10,0
68579.0,0,11,0,10,0
68580.0,0,12,0,10,0
70436.0,0,13,0,10,0
76548.0,0,13,0,11,0
76560.0,0,14,0,11,0
89239.0,0,15,0,11,0
90240.0,0,15,0,12,0
90994.0,0,16,0,12,0
91155.0,0,17,0,12,0
150185.0,0,17,0,13,0
169055.0,0,17,0,14,0
219307.0,0,18,0,14,0
221358.0,0,18,0,15,0
236741.0,0,18,0,16,0
251541.0,0,19,0,16,0
264630.0,0,20,0,16,0
264696.0,0,21,0,16,0
273906.0,0,22,0,16,0
273913.0,0,23,0,16,0
281752.0,0,24,0,16,0
281826.0,0,25,0,16,0
282040.0,0,25,0,17,0
282206.0,0,25,0,18,0
282305.0,0,26,0,18,0
284673.0,0,27,0,18,0
293637.0,0,28,0,18,0
295565.0,0,29,0,18,0
295569.0,0,30,0,18,0
295629.0,0,31,0,18,0
295634.0,0,31,0,19,0
297668.0,0,32,0,19,0
297764.0,0,33,0,19,0
297779.0,0,34,0,19,0
297786.0,0,35,0,19,0
299590.0,0,36,0,19,0
299609.0,0,37,0,19,0
299612.0,0,38,0,19,0
299635.0,0,39,0,19,0
299649.0,0,40,0,19,0
299650.0,0,41,0,19,0
299742.0,0,42,0,19,0
299828.0,0,43,0,19,0
299906.0,0,44,0,19,0
300541.0,0,45,0,19,0
305658.0,0,45,0,20,0
