time,simpleEfficiency,complexEfficiency
0.003,,0.107715962592712
0.005,,0.10858971557562076
0.013,0.07707361458287695,0.1120807803934215
0.014,,0.11295255981941309
0.016,0.0788532798973351,
0.017,0.0788532798973351,
0.018,0.0788532798973351,0.11469493453724605
0.019,0.07914953502793906,0.1155655298290874
0.021,0.080629744695556,0.11643573040954532
0.023,,0.12511602708803612
0.024,0.08799731448271046,0.12598188584327638
0.025,0.08829091527955768,
0.026,,0.12857709384069654
0.031,0.09180673571068994,
0.032,,0.13375685262818446
0.033,0.09297586600936232,0.13634140341825218
0.045,0.09472693301745008,0.1380624637213802
0.046,0.09472693301745008,0.1380624637213802
0.05,0.09763838286004685,
0.051,,0.14235820702999033
0.052,0.09851007240968321,0.14407374137375042
0.053,0.10314608872181967,0.15091989293776203
0.054,0.10632050924131668,0.15177410770719127
0.055,,0.15518623024830705
0.056,,0.1564640986778459
0.057,0.10747223345749053,0.15688992325056436
0.058,0.10804757749694384,0.1577409803289262
0.059,0.11149222988240232,0.16397107943674086
0.06,0.11321016903621306,0.16538470557884558
0.064,0.1177757939590279,
0.065,0.11834495771645036,0.17299626185101585
0.07,0.07647968058924662,0.11120860625604644
0.072,0.07944579015854304,0.11643573040954532
0.073,0.08122118939758481,0.11829869793154282
0.074,0.08299339579241807,0.12164864495324088
0.075,0.08593999349853369,
0.076,0.08868097421773125,0.12943979490486943
0.077,0.09005040761389059,0.13116874943566592
0.078,0.09180638483127317,0.1346171854240568
0.079,0.09783189788969172,0.14192902741051275
0.08,0.0999610881640495,0.1480134312802322
0.081,,0.14835566978394069
0.082,0.10169976677557943,0.1497806109857036
0.083,0.10343514488653144,
0.084,0.10372402766956407,0.15092009029345377
0.085,0.10747223345749053,0.16114224830699778
0.089,0.11149240181377516,0.1628404153498872
0.09,0.11149240181377516,0.1628404153498872
0.097,0.11435363061920434,
0.098,0.11435363061920434,0.16707892550790077
0.099,0.11891378007804741,0.17384001676878433
0.1,0.12118497891345303,0.17468337697516934
0.102,0.12288599471183481,0.17973524927442766
0.103,0.12514823942715672,
0.104,0.12853172461666976,0.18635496148195932
0.105,0.12853172461666976,0.18812345952918422
0.106,0.12853172461666976,
0.107,0.12853172461666976,0.1881234595291842
0.108,0.13078054880912332,0.1881234595291842
