time,target distance,affordance,memory,random,short term memory,world model
34169.0,0,0,0,1,0,0
34671.0,0,1,0,1,0,0
35855.0,0,2,0,1,0,0
36607.0,0,2,0,2,0,0
39084.0,0,3,0,2,0,0
40257.0,0,4,0,2,0,0
40314.0,0,5,0,2,0,0
41143.0,0,5,0,3,0,0
43831.0,0,6,0,3,0,0
58972.0,0,7,0,3,0,0
61470.0,0,8,0,3,0,0
62709.0,0,9,0,3,0,0
62791.0,0,10,0,3,0,0
64407.0,0,11,0,3,0,0
64408.0,0,12,0,3,0,0
72805.0,0,13,0,3,0,0
74835.0,0,14,0,3,0,0
81114.0,0,15,0,3,0,0
82366.0,0,16,0,3,0,0
85201.0,0,17,0,3,0,0
88846.0,0,17,0,4,0,0
89424.0,0,18,0,4,0,0
91928.0,0,19,0,4,0,0
92306.0,0,20,0,4,0,0
96120.0,0,21,0,4,0,0
100501.0,0,21,0,5,0,0
100666.0,0,22,0,5,0,0
104478.0,0,23,0,5,0,0
104802.0,0,23,0,6,0,0
105471.0,0,24,0,6,0,0
108803.0,0,24,0,7,0,0
109312.0,0,25,0,7,0,0
109523.0,0,26,0,7,0,0
112538.0,0,27,0,7,0,0
113970.0,0,28,0,7,0,0
115378.0,0,29,0,7,0,0
119503.0,0,29,0,8,0,0
119556.0,0,30,0,8,0,0
120060.0,0,31,0,8,0,0
120061.0,0,32,0,8,0,0
135518.0,0,32,0,9,0,0
137299.0,0,33,0,9,0,0
137302.0,0,34,0,9,0,0
139485.0,0,35,0,9,0,0
140307.0,0,36,0,9,0,0
143083.0,0,36,0,10,0,0
144331.0,0,36,0,11,0,0
157273.0,0,37,0,11,0,0
158055.0,0,38,0,11,0,0
163013.0,0,39,0,11,0,0
163620.0,0,40,0,11,0,0
166634.0,0,41,0,11,0,0
167355.0,0,41,0,12,0,0
170426.0,0,41,0,13,0,0
182559.0,0,41,0,14,0,0
183047.0,0,42,0,14,0,0
183052.0,0,43,0,14,0,0
185743.0,0,43,0,15,0,0
186273.0,0,43,0,16,0,0
188080.0,0,43,0,17,0,0
189207.0,0,44,0,17,0,0
189931.0,0,45,0,17,0,0
190420.0,0,46,0,17,0,0
190882.0,0,47,0,17,0,0
191550.0,0,48,0,17,0,0
193893.0,0,49,0,17,0,0
196294.0,0,50,0,17,0,0
202124.0,0,51,0,17,0,0
205478.0,0,52,0,17,0,0
207331.0,0,52,0,18,0,0
219848.0,0,53,0,18,0,0
220699.0,0,54,0,18,0,0
228730.0,0,55,0,18,0,0
234506.0,0,56,0,18,0,0
236529.0,0,56,0,18,0,1
236900.0,0,57,0,18,0,1
244034.0,0,58,0,18,0,1
244729.0,0,59,0,18,0,1
245202.0,0,60,0,18,0,1
260326.0,0,61,0,18,0,1
261467.0,0,62,0,18,0,1
278073.0,0,63,0,18,0,1
279786.0,0,64,0,18,0,1
280429.0,0,65,0,18,0,1
295561.0,0,66,0,18,0,1
297511.0,0,67,0,18,0,1
307923.0,0,67,0,18,0,2
308444.0,0,68,0,18,0,2
309671.0,0,68,0,18,0,3
310804.0,0,69,0,18,0,3
312180.0,0,70,0,18,0,3
313147.0,0,71,0,18,0,3
313705.0,0,71,0,18,0,4
314344.0,0,72,0,18,0,4
315230.0,0,73,0,18,0,4
315235.0,0,74,0,18,0,4
315646.0,0,74,0,18,0,5
315796.0,0,74,0,18,0,6
316288.0,0,75,0,18,0,6
317127.0,0,76,0,18,0,6
317129.0,0,77,0,18,0,6
318081.0,0,78,0,18,0,6
320035.0,0,79,0,18,0,6
320870.0,0,80,0,18,0,6
322192.0,0,81,0,18,0,6
324072.0,0,82,0,18,0,6
324493.0,0,83,0,18,0,6
324502.0,0,84,0,18,0,6
329099.0,0,85,0,18,0,6
329482.0,0,86,0,18,0,6
329511.0,0,87,0,18,0,6
330007.0,0,87,0,18,0,7
340446.0,0,88,0,18,0,7
