time,TARGET_DISTANCE,AFFORDANCE,MEMORY,RANDOM,SHORT_TERM_MEMORY,WORLD_MODEL
0.0,0,0,0,0,0,0
0.01,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.03,0,0,0,0,0,0
0.04,0,0,0,0,0,0
