creatureKey,regulatingCount,batches
350,0,369
350,1,18
350,2,10
350,3,7
350,4,9
350,5,36
350,6,1
350,7,3
350,8,2
350,9,6
350,10,7
350,11,2
350,12,2
350,13,3
350,14,2
350,15,4
350,16,1
350,17,1
350,18,3
350,20,2
350,23,1
350,25,2
350,26,1
350,28,2
350,32,2
350,33,1
350,34,1
350,35,1
350,36,1
350,38,1
350,39,1
350,40,1
350,41,1
350,44,1
350,45,1
350,50,1
350,52,1
350,54,1
350,56,1
350,65,1
350,68,1
350,73,1
350,81,1
350,85,1
350,86,1
350,90,1
350,95,1
350,99,1
350,114,1
350,120,1
350,231,1
350,518,1
350,1307,1
