creature_key,onset_cycle,wake_cycle,duration_ticks,engram_count,mean_eligibility,std_eligibility,batches_completed,aborted
353,3,15,11,0,0.0,0.0,0,false
353,19,30,10,0,0.0,0.0,0,false
353,32,43,10,0,0.0,0.0,0,false
353,45,61,15,0,0.0,0.0,0,false
353,62,74,11,0,0.0,0.0,0,false
353,75,88,12,0,0.0,0.0,0,false
353,90,102,11,0,0.0,0.0,0,false
353,104,116,11,0,0.0,0.0,0,false
353,120,131,10,0,0.0,0.0,0,false
353,134,145,10,0,0.0,0.0,0,false
353,147,158,10,0,0.0,0.0,0,false
353,159,170,10,0,0.0,0.0,0,false
353,172,183,10,0,0.0,0.0,0,false
353,184,195,10,0,0.0,0.0,0,false
353,199,212,12,0,0.0,0.0,0,false
353,216,227,10,0,0.0,0.0,0,false
353,228,242,13,0,0.0,0.0,0,false
353,245,256,10,0,0.0,0.0,0,false
353,257,268,10,0,0.0,0.0,0,false
353,269,280,10,0,0.0,0.0,0,false
353,287,298,10,0,0.0,0.0,0,false
353,302,313,10,0,0.0,0.0,0,false
353,314,325,10,0,0.0,0.0,0,false
353,326,337,10,0,0.0,0.0,0,false
353,338,349,10,0,0.0,0.0,0,false
353,350,361,10,0,0.0,0.0,0,false
353,362,373,10,0,0.0,0.0,0,false
353,374,387,12,0,0.0,0.0,0,false
353,388,400,11,0,0.0,0.0,0,false
353,402,413,10,0,0.0,0.0,0,false
353,415,426,10,0,0.0,0.0,0,false
353,428,439,10,0,0.0,0.0,0,false
353,440,451,10,0,0.0,0.0,0,false
353,452,464,11,0,0.0,0.0,0,false
353,466,477,10,0,0.0,0.0,0,false
353,480,493,12,0,0.0,0.0,0,false
353,494,506,11,0,0.0,0.0,0,false
353,510,522,11,0,0.0,0.0,0,false
353,523,534,10,0,0.0,0.0,0,false
353,535,546,10,0,0.0,0.0,0,false
353,548,560,11,0,0.0,0.0,0,false
353,561,572,10,0,0.0,0.0,0,false
353,573,586,12,0,0.0,0.0,0,false
353,588,603,14,0,0.0,0.0,0,false
353,605,616,10,0,0.0,0.0,0,false
353,618,629,10,0,0.0,0.0,0,false
353,630,641,10,0,0.0,0.0,0,false
353,644,655,10,0,0.0,0.0,0,false
353,659,670,10,0,0.0,0.0,0,false
353,671,682,10,0,0.0,0.0,0,false
353,684,695,10,0,0.0,0.0,0,false
353,701,713,11,0,0.0,0.0,0,false
353,717,730,12,0,0.0,0.0,0,false
353,732,744,11,0,0.0,0.0,0,false
353,746,760,13,0,0.0,0.0,0,false
353,763,775,11,0,0.0,0.0,0,false
353,776,788,11,0,0.0,0.0,0,false
353,792,803,10,0,0.0,0.0,0,false
353,804,815,10,0,0.0,0.0,0,false
353,816,827,10,0,0.0,0.0,0,false
353,828,840,11,0,0.0,0.0,0,false
353,843,854,10,0,0.0,0.0,0,false
353,856,871,14,0,0.0,0.0,0,false
353,874,886,11,0,0.0,0.0,0,false
353,887,900,12,0,0.0,0.0,0,false
353,907,918,10,0,0.0,0.0,0,false
353,920,931,10,0,0.0,0.0,0,false
353,932,943,10,0,0.0,0.0,0,false
353,945,957,11,0,0.0,0.0,0,false
353,964,976,11,0,0.0,0.0,0,false
353,977,989,11,0,0.0,0.0,0,false
353,990,1002,11,0,0.0,0.0,0,false
353,1004,1020,15,0,0.0,0.0,0,false
353,1022,1034,11,0,0.0,0.0,0,false
353,1037,1048,10,0,0.0,0.0,0,false
353,1052,1064,11,0,0.0,0.0,0,false
353,1068,1080,11,0,0.0,0.0,0,false
353,1082,1093,10,0,0.0,0.0,0,false
353,1094,1106,11,0,0.0,0.0,0,false
353,1115,1126,10,0,0.0,0.0,0,false
353,1130,1142,11,0,0.0,0.0,0,false
353,1143,1155,11,0,0.0,0.0,0,false
353,1159,1170,10,0,0.0,0.0,0,false
353,1172,1183,10,0,0.0,0.0,0,false
353,1184,1197,12,0,0.0,0.0,0,false
353,1198,1209,10,0,0.0,0.0,0,false
353,1211,1223,11,0,0.0,0.0,0,false
353,1224,1235,10,0,0.0,0.0,0,false
353,1237,1250,12,0,0.0,0.0,0,false
353,1251,1262,10,0,0.0,0.0,0,false
353,1263,1274,10,0,0.0,0.0,0,false
353,1277,1288,10,0,0.0,0.0,0,false
353,1289,1300,10,0,0.0,0.0,0,false
353,1303,1314,10,0,0.0,0.0,0,false
353,1315,1327,11,0,0.0,0.0,0,false
353,1328,1339,10,0,0.0,0.0,0,false
353,1343,1356,12,0,0.0,0.0,0,false
353,1359,1371,11,0,0.0,0.0,0,false
353,1372,1384,11,0,0.0,0.0,0,false
353,1393,1405,11,0,0.0,0.0,0,false
353,1406,1417,10,0,0.0,0.0,0,false
353,1419,1431,11,0,0.0,0.0,0,false
353,1433,1444,10,0,0.0,0.0,0,false
353,1445,1456,10,0,0.0,0.0,0,false
353,1457,1468,10,0,0.0,0.0,0,false
353,1470,1482,11,0,0.0,0.0,0,false
353,1488,1500,11,0,0.0,0.0,0,false
353,1501,1512,10,0,0.0,0.0,0,false
353,1516,1527,10,0,0.0,0.0,0,false
353,1528,1539,10,0,0.0,0.0,0,false
353,1543,1555,11,0,0.0,0.0,0,false
353,1557,1568,10,0,0.0,0.0,0,false
353,1569,1581,11,0,0.0,0.0,0,false
353,1582,1594,11,0,0.0,0.0,0,false
353,1604,1615,10,0,0.0,0.0,0,false
353,1616,1627,10,0,0.0,0.0,0,false
353,1628,1639,10,0,0.0,0.0,0,false
353,1640,1651,10,0,0.0,0.0,0,false
353,1659,1671,11,0,0.0,0.0,0,false
353,1677,1689,11,0,0.0,0.0,0,false
353,1694,1705,10,0,0.0,0.0,0,false
353,1712,1723,10,0,0.0,0.0,0,false
353,1724,1736,11,0,0.0,0.0,0,false
353,1739,1751,11,0,0.0,0.0,0,false
353,1752,1763,10,0,0.0,0.0,0,false
353,1765,1776,10,0,0.0,0.0,0,false
353,1779,1791,11,0,0.0,0.0,0,false
353,1793,1804,10,0,0.0,0.0,0,false
353,1808,1821,12,0,0.0,0.0,0,false
353,1823,1835,11,0,0.0,0.0,0,false
353,1837,1848,10,0,0.0,0.0,0,false
353,1851,1864,12,0,0.0,0.0,0,false
353,1865,1879,13,0,0.0,0.0,0,false
353,1880,1891,10,0,0.0,0.0,0,false
353,1892,1903,10,0,0.0,0.0,0,false
353,1904,1918,13,0,0.0,0.0,0,false
353,1919,1930,10,0,0.0,0.0,0,false
353,1932,1943,10,0,0.0,0.0,0,false
353,1947,1962,14,0,0.0,0.0,0,false
353,1965,1977,11,0,0.0,0.0,0,false
353,1979,1994,14,0,0.0,0.0,0,false
353,1996,2008,11,0,0.0,0.0,0,false
353,2012,2023,10,0,0.0,0.0,0,false
353,2029,2041,11,0,0.0,0.0,0,false
353,2044,2055,10,0,0.0,0.0,0,false
353,2061,2072,10,0,0.0,0.0,0,false
353,2075,2086,10,0,0.0,0.0,0,false
353,2087,2098,10,0,0.0,0.0,0,false
353,2100,2112,11,0,0.0,0.0,0,false
353,2113,2124,10,0,0.0,0.0,0,false
353,2126,2137,10,0,0.0,0.0,0,false
353,2140,2152,11,0,0.0,0.0,0,false
353,2153,2164,10,0,0.0,0.0,0,false
353,2168,2180,11,0,0.0,0.0,0,false
353,2183,2194,10,0,0.0,0.0,0,false
353,2195,2206,10,0,0.0,0.0,0,false
353,2207,2218,10,0,0.0,0.0,0,false
353,2219,2230,10,0,0.0,0.0,0,false
353,2234,2246,11,0,0.0,0.0,0,false
353,2247,2261,13,0,0.0,0.0,0,false
353,2262,2274,11,0,0.0,0.0,0,false
353,2277,2288,10,0,0.0,0.0,0,false
353,2289,2300,10,0,0.0,0.0,0,false
353,2301,2312,10,0,0.0,0.0,0,false
353,2321,2333,11,0,0.0,0.0,0,false
353,2334,2345,10,0,0.0,0.0,0,false
353,2348,2360,11,0,0.0,0.0,0,false
353,2361,2373,11,0,0.0,0.0,0,false
353,2375,2386,10,0,0.0,0.0,0,false
353,2394,2405,10,0,0.0,0.0,0,false
353,2409,2421,11,0,0.0,0.0,0,false
353,2425,2436,10,0,0.0,0.0,0,false
353,2437,2448,10,0,0.0,0.0,0,false
353,2449,2460,10,0,0.0,0.0,0,false
353,2464,2475,10,0,0.0,0.0,0,false
353,2478,2489,10,0,0.0,0.0,0,false
353,2490,2501,10,0,0.0,0.0,0,false
353,2503,2514,10,0,0.0,0.0,0,false
353,2517,2531,13,0,0.0,0.0,0,false
353,2534,2545,10,0,0.0,0.0,0,false
353,2546,2557,10,0,0.0,0.0,0,false
353,2558,2571,12,0,0.0,0.0,0,false
353,2573,2584,10,0,0.0,0.0,0,false
353,2585,2597,11,0,0.0,0.0,0,false
353,2603,2614,10,0,0.0,0.0,0,false
353,2615,2626,10,0,0.0,0.0,0,false
353,2627,2638,10,0,0.0,0.0,0,false
353,2639,2650,10,0,0.0,0.0,0,false
353,2651,2662,10,0,0.0,0.0,0,false
353,2664,2675,10,0,0.0,0.0,0,false
353,2676,2688,11,0,0.0,0.0,0,false
353,2693,2705,11,0,0.0,0.0,0,false
353,2713,2726,12,0,0.0,0.0,0,false
353,2727,2738,10,0,0.0,0.0,0,false
353,2739,2750,10,0,0.0,0.0,0,false
353,2752,2763,10,0,0.0,0.0,0,false
353,2768,2779,10,0,0.0,0.0,0,false
353,2782,2793,10,0,0.0,0.0,0,false
353,2798,2810,11,0,0.0,0.0,0,false
353,2815,2826,10,0,0.0,0.0,0,false
353,2827,2841,13,0,0.0,0.0,0,false
353,2842,2853,10,0,0.0,0.0,0,false
353,2854,2865,10,0,0.0,0.0,0,false
353,2869,2881,11,0,0.0,0.0,0,false
