creatureKey,regulatingCount,batches
353,0,1044
353,1,64
353,2,30
353,3,34
353,4,32
353,5,123
353,6,15
353,7,10
353,8,10
353,9,12
353,10,27
353,11,9
353,12,9
353,13,5
353,14,5
353,15,14
353,16,2
353,17,6
353,18,5
353,19,4
353,20,8
353,21,1
353,22,1
353,23,3
353,24,6
353,25,6
353,26,1
353,27,1
353,28,1
353,29,1
353,30,2
353,31,1
353,32,1
353,33,1
353,34,1
353,35,1
353,36,1
353,37,1
353,39,1
353,40,5
353,42,3
353,43,1
353,44,1
353,45,1
353,50,1
353,51,2
353,54,1
353,55,1
353,56,1
353,57,1
353,60,1
353,62,1
353,64,1
353,65,2
353,76,2
353,81,1
353,84,1
353,87,3
353,94,1
