creatureKey,regulatingCount,batches
95,0,1671
95,1,561
95,2,313
95,3,249
95,4,179
95,5,252
95,6,73
95,7,47
95,8,51
95,9,29
95,10,47
95,11,22
95,12,23
95,13,15
95,14,12
95,15,21
95,16,9
95,17,8
95,18,6
95,19,6
95,20,6
95,21,2
95,22,9
95,23,7
95,24,5
95,25,8
95,26,2
95,27,2
95,28,2
95,29,3
95,30,5
95,31,5
95,32,1
95,33,3
95,34,1
95,35,7
95,36,1
95,37,1
95,38,1
95,40,5
95,41,2
95,42,1
95,43,4
95,44,1
95,45,2
95,46,1
95,47,1
95,49,1
95,51,1
95,52,1
95,53,2
95,57,1
95,59,1
95,63,1
95,64,1
95,66,1
95,71,1
95,72,1
95,73,1
95,74,1
95,76,1
95,79,1
95,84,1
95,93,1
95,96,1
95,99,1
95,103,1
95,129,1
95,132,1
95,160,1
95,227,1
95,274,1
95,351,1
95,453,1
95,500,1
