creatureKey,time,object_key,object_type,distance,angle,direction
348,1782742958103,5,RED_APPLE,44.412132972369264,-1.0965885953411314,25.440611033395122
348,1782742958176,5,RED_APPLE,42.960857454049865,-1.1567069986171807,24.939454122057814
348,1782742958180,5,RED_APPLE,42.960857454049865,-1.1567069986171807,24.939454122057814
348,1782742961056,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961058,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961067,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961068,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961069,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961073,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961084,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961094,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961101,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961103,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961105,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961120,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961121,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961132,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961133,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961139,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961151,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961154,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961167,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961182,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961184,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961185,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961188,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961209,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961210,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961211,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961212,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961216,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961218,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961220,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961228,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961230,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961231,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961238,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961249,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961251,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961253,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961256,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961263,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961265,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961277,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961280,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961285,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961287,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961289,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961290,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961293,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961295,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961297,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961299,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961300,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961310,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961311,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961312,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961313,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961314,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961316,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961317,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961318,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961319,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961321,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961322,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961324,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961326,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961328,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961339,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961340,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961353,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961354,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961357,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961361,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961363,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961390,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961401,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961402,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961406,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961407,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961409,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961413,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961415,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961427,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961436,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961438,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961444,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961453,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961525,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961527,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961529,281,ROTTEN_APPLE,62.67688859039849,-0.09599243067460794,25.0
348,1782742961530,211,GRAY_APPLE,66.96813190058037,-0.11840752746161415,25.0
348,1782742961560,281,ROTTEN_APPLE,59.79543285949652,-0.08235293404748907,25.0
348,1782742961562,211,GRAY_APPLE,64.0679577918122,-0.10669091775213947,25.0
348,1782742961564,281,ROTTEN_APPLE,59.79543285949652,-0.08235293404748907,25.0
348,1782742961574,211,GRAY_APPLE,64.0679577918122,-0.10669091775213947,25.0
348,1782742961575,281,ROTTEN_APPLE,59.79543285949652,-0.08235293404748907,25.0
348,1782742961586,211,GRAY_APPLE,64.0679577918122,-0.10669091775213947,25.0
348,1782742961591,281,ROTTEN_APPLE,59.79543285949652,-0.08235293404748907,25.0
348,1782742961592,211,GRAY_APPLE,64.0679577918122,-0.10669091775213947,25.0
348,1782742961620,281,ROTTEN_APPLE,59.79543285949652,-0.08235293404748907,25.0
348,1782742961634,211,GRAY_APPLE,64.0679577918122,-0.10669091775213947,25.0
348,1782742961644,281,ROTTEN_APPLE,59.79543285949652,-0.08235293404748907,25.0
348,1782742961646,211,GRAY_APPLE,64.0679577918122,-0.10669091775213947,25.0
348,1782742961647,281,ROTTEN_APPLE,59.79543285949652,-0.08235293404748907,25.0
348,1782742961650,211,GRAY_APPLE,64.0679577918122,-0.10669091775213947,25.0
348,1782742961660,281,ROTTEN_APPLE,59.79543285949652,-0.08235293404748907,25.0
348,1782742961662,211,GRAY_APPLE,64.0679577918122,-0.10669091775213947,25.0
348,1782742961663,281,ROTTEN_APPLE,59.79543285949652,-0.08235293404748907,25.0
348,1782742961668,211,GRAY_APPLE,64.0679577918122,-0.10669091775213947,25.0
348,1782742961687,281,ROTTEN_APPLE,59.79543285949652,-0.08235293404748907,25.0
348,1782742961689,211,GRAY_APPLE,64.0679577918122,-0.10669091775213947,25.0
348,1782742961693,281,ROTTEN_APPLE,59.79543285949652,-0.08235293404748907,25.0
348,1782742961694,211,GRAY_APPLE,64.0679577918122,-0.10669091775213947,25.0
348,1782742961696,281,ROTTEN_APPLE,59.79543285949652,-0.08235293404748907,25.0
348,1782742961705,211,GRAY_APPLE,64.0679577918122,-0.10669091775213947,25.0
348,1782742961707,281,ROTTEN_APPLE,59.79543285949652,-0.08235293404748907,25.0
348,1782742961712,211,GRAY_APPLE,64.0679577918122,-0.10669091775213947,25.0
348,1782742961719,281,ROTTEN_APPLE,59.79543285949652,-0.08235293404748907,25.0
