creatureKey,regulatingCount,batches
92,0,1442
92,1,324
92,2,228
92,3,150
92,4,112
92,5,203
92,6,53
92,7,37
92,8,36
92,9,34
92,10,40
92,11,19
92,12,15
92,13,13
92,14,17
92,15,23
92,16,11
92,17,7
92,18,5
92,19,5
92,20,9
92,21,5
92,22,4
92,23,3
92,24,6
92,25,7
92,26,1
92,27,2
92,28,6
92,29,2
92,30,3
92,31,2
92,32,3
92,33,1
92,34,3
92,35,3
92,38,1
92,39,1
92,40,2
92,41,2
92,42,2
92,43,1
92,45,1
92,47,3
92,48,1
92,49,1
92,50,2
92,51,3
92,52,1
92,53,1
92,54,1
92,56,1
92,57,1
92,60,1
92,63,1
92,66,1
92,69,1
92,72,1
92,80,1
92,83,1
92,88,1
92,116,1
92,126,1
92,144,1
92,164,1
