ids,distances
90,30231.570193096373
91,26936.225673512585
92,39781.35875796643
93,31186.95187612946
94,26674.582628976368
95,30491.53694287996
96,31296.803803549286
97,52542.88037830407
98,33837.6304128989
99,35298.886823251094
