creatureKey,objectType,distance,angle,time
182,RED_APPLE,27.277854600733576,-1.0172283305596648,1782810170735
182,GREEN_APPLE,22.84920313579824,-1.1514811828976597,1782810170742
182,RED_APPLE,27.277854600733576,-1.0172283305596648,1782810170957
182,GREEN_APPLE,53.195249955360765,0.2096725608962429,1782810171514
182,RED_APPLE,93.82757213219348,0.01959147263405979,1782810171516
182,GREEN_APPLE,50.590954576029304,0.2383795812984614,1782810171899
182,RED_APPLE,148.9874476671896,-0.4075700765855557,1782810170771
182,GREEN_APPLE,50.590954576029304,0.2383795812984614,1782810171825
182,GREEN_APPLE,50.590954576029304,0.2383795812984614,1782810171877
182,RED_APPLE,90.98010636883375,0.029813356479129322,1782810171907
182,RED_APPLE,90.98010636883375,0.029813356479129322,1782810172168
182,GREEN_APPLE,64.87665524281627,0.14834726484773453,1782810170938
182,RED_APPLE,148.9874476671896,-0.4075700765855557,1782810170968
182,GREEN_APPLE,21.0086575087219,-1.4107153692644459,1782810171237
182,RED_APPLE,143.48728439043924,-0.4231886343665528,1782810171241
182,GREEN_APPLE,19.592338352955174,-1.7158073377302472,1782810171404
182,GREEN_APPLE,19.370729833432073,-1.8695324016507562,1782810171793
182,RED_APPLE,20.857618118145265,-1.602592923016014,1782810171882
182,RED_APPLE,20.857618118145265,-1.602592923016014,1782810171932
182,RED_APPLE,90.98010636883375,0.029813356479129322,1782810171950
182,RED_APPLE,105.94402989416757,0.0033515445247261086,1782810170853
182,GREEN_APPLE,22.84920313579824,-1.1514811828976597,1782810171108
182,RED_APPLE,134.33173813437114,-0.4357376907777997,1782810171797
182,RED_APPLE,20.857618118145265,-1.602592923016014,1782810171958
182,RED_APPLE,134.33173813437114,-0.4357376907777997,1782810172006
182,GREEN_APPLE,50.590954576029304,0.2383795812984614,1782810172088
182,RED_APPLE,20.857618118145265,-1.602592923016014,1782810172135
182,RED_APPLE,148.9874476671896,-0.4075700765855557,1782810170893
182,GREEN_APPLE,62.00979773178017,0.1622817278407385,1782810171163
182,RED_APPLE,96.82704242282665,0.02018291402358651,1782810171286
182,RED_APPLE,22.223015503624,-1.33440415397754,1782810171295
182,GREEN_APPLE,19.27140697861305,-1.562151400458643,1782810171298
182,RED_APPLE,90.98010636883375,0.029813356479129322,1782810171879
182,RED_APPLE,134.33173813437114,-0.4357376907777997,1782810171896
182,RED_APPLE,90.98010636883375,0.029813356479129322,1782810172130
182,RED_APPLE,134.33173813437114,-0.4357376907777997,1782810172143
182,RED_APPLE,105.94402989416757,0.0033515445247261086,1782810170952
182,RED_APPLE,21.832808044129045,-1.4695461640810312,1782810171479
182,RED_APPLE,134.33173813437114,-0.4357376907777997,1782810171937
182,GREEN_APPLE,64.87665524281627,0.14834726484773453,1782810170798
182,GREEN_APPLE,22.84920313579824,-1.1514811828976597,1782810170883
182,RED_APPLE,105.94402989416757,0.0033515445247261086,1782810171019
182,RED_APPLE,139.98243825348766,-0.4229533859458093,1782810171318
182,GREEN_APPLE,53.195249955360765,0.2096725608962429,1782810171449
182,RED_APPLE,20.857618118145265,-1.602592923016014,1782810171786
182,GREEN_APPLE,50.590954576029304,0.2383795812984614,1782810171947
182,RED_APPLE,21.832808044129045,-1.4695461640810312,1782810171401
182,RED_APPLE,90.98010636883375,0.029813356479129322,1782810171837
182,RED_APPLE,20.857618118145265,-1.602592923016014,1782810171867
182,RED_APPLE,27.277854600733576,-1.0172283305596648,1782810170861
182,GREEN_APPLE,22.84920313579824,-1.1514811828976597,1782810170964
182,GREEN_APPLE,64.87665524281627,0.14834726484773453,1782810171013
182,RED_APPLE,27.277854600733576,-1.0172283305596648,1782810171102
182,GREEN_APPLE,56.153820284602965,0.2005817590708018,1782810171283
182,RED_APPLE,93.82757213219348,0.01959147263405979,1782810171361
182,RED_APPLE,134.33173813437114,-0.4357376907777997,1782810171777
182,GREEN_APPLE,44.91609726255485,0.2750514457036468,1782810172479
182,RED_APPLE,85.05879211902102,0.03486665746799191,1782810172481
182,RED_APPLE,137.3029644898909,-0.4326855813643717,1782810171406
182,RED_APPLE,21.832808044129045,-1.4695461640810312,1782810171519
182,GREEN_APPLE,19.592338352955174,-1.7158073377302472,1782810171521
182,GREEN_APPLE,19.370729833432073,-1.8695324016507562,1782810171773
182,RED_APPLE,90.98010636883375,0.029813356479129322,1782810172354
182,GREEN_APPLE,19.592338352955174,-1.7158073377302472,1782810171494
182,RED_APPLE,137.3029644898909,-0.4326855813643717,1782810171513
182,RED_APPLE,137.3029644898909,-0.4326855813643717,1782810171581
182,RED_APPLE,93.82757213219348,0.01959147263405979,1782810171608
182,GREEN_APPLE,50.590954576029304,0.2383795812984614,1782810171779
182,RED_APPLE,134.33173813437114,-0.4357376907777997,1782810172245
182,GREEN_APPLE,50.590954576029304,0.2383795812984614,1782810172288
182,GREEN_APPLE,19.930808690521207,-2.019670264077136,1782810172426
182,GREEN_APPLE,50.590954576029304,0.2383795812984614,1782810172155
