ids,initialXSeries,initialYSeries,finalXSeries,finalYSeries
182,420.88967958037983,379.5037733653323,423.70373140453415,378.46400784802864
182,423.70373140453415,378.46400784802864,423.70373140453415,378.46400784802864
182,423.70373140453415,378.46400784802864,423.70373140453415,378.46400784802864
182,423.70373140453415,378.46400784802864,423.70373140453415,378.46400784802864
182,423.70373140453415,378.46400784802864,423.70373140453415,378.46400784802864
182,423.70373140453415,378.46400784802864,423.70373140453415,378.46400784802864
182,423.70373140453415,378.46400784802864,423.70373140453415,378.46400784802864
182,423.70373140453415,378.46400784802864,423.70373140453415,378.46400784802864
182,423.70373140453415,378.46400784802864,423.70373140453415,378.46400784802864
182,423.70373140453415,378.46400784802864,423.70373140453415,378.46400784802864
182,423.70373140453415,378.46400784802864,423.70373140453415,378.46400784802864
182,423.70373140453415,378.46400784802864,423.70373140453415,378.46400784802864
182,423.70373140453415,378.46400784802864,426.6727644987504,378.0340747306154
182,426.6727644987504,378.0340747306154,429.65770153584185,378.33432609963734
182,429.65770153584185,378.33432609963734,432.26952731028643,379.810255001701
182,432.26952731028643,379.810255001701,432.839844429012,376.86496411893773
182,432.839844429012,376.86496411893773,435.83760028585016,376.9809805953208
182,435.83760028585016,376.9809805953208,435.83760028585016,376.9809805953208
182,435.83760028585016,376.9809805953208,435.83760028585016,376.9809805953208
182,435.83760028585016,376.9809805953208,435.83760028585016,376.9809805953208
182,435.83760028585016,376.9809805953208,435.83760028585016,376.9809805953208
182,435.83760028585016,376.9809805953208,435.83760028585016,376.9809805953208
182,435.83760028585016,376.9809805953208,435.83760028585016,376.9809805953208
182,435.83760028585016,376.9809805953208,435.83760028585016,376.9809805953208
182,435.83760028585016,376.9809805953208,435.83760028585016,376.9809805953208
182,435.83760028585016,376.9809805953208,435.83760028585016,376.9809805953208
182,435.83760028585016,376.9809805953208,435.83760028585016,376.9809805953208
182,435.83760028585016,376.9809805953208,435.83760028585016,376.9809805953208
182,435.83760028585016,376.9809805953208,435.83760028585016,376.9809805953208
182,435.83760028585016,376.9809805953208,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,438.7074901160306,376.10706277159437
182,438.7074901160306,376.10706277159437,441.65544256185655,375.5506668899158
182,441.65544256185655,375.5506668899158,444.64007121385134,375.853968406054
182,444.64007121385134,375.853968406054,444.64007121385134,375.853968406054
182,444.64007121385134,375.853968406054,444.64007121385134,375.853968406054
182,444.64007121385134,375.853968406054,444.64007121385134,375.853968406054
182,444.64007121385134,375.853968406054,444.64007121385134,375.853968406054
182,444.64007121385134,375.853968406054,444.64007121385134,375.853968406054
182,444.64007121385134,375.853968406054,444.64007121385134,375.853968406054
182,444.64007121385134,375.853968406054,444.64007121385134,375.853968406054
182,444.64007121385134,375.853968406054,444.64007121385134,375.853968406054
182,444.64007121385134,375.853968406054,444.64007121385134,375.853968406054
182,444.64007121385134,375.853968406054,444.64007121385134,375.853968406054
182,444.64007121385134,375.853968406054,444.64007121385134,375.853968406054
182,444.64007121385134,375.853968406054,444.64007121385134,375.853968406054
182,444.64007121385134,375.853968406054,446.920288568227,373.9044533851311
182,446.920288568227,373.9044533851311,446.920288568227,373.9044533851311
182,446.920288568227,373.9044533851311,446.920288568227,373.9044533851311
182,446.920288568227,373.9044533851311,446.920288568227,373.9044533851311
182,446.920288568227,373.9044533851311,446.920288568227,373.9044533851311
182,446.920288568227,373.9044533851311,446.920288568227,373.9044533851311
182,446.920288568227,373.9044533851311,446.920288568227,373.9044533851311
182,446.920288568227,373.9044533851311,446.920288568227,373.9044533851311
182,446.920288568227,373.9044533851311,446.920288568227,373.9044533851311
182,446.920288568227,373.9044533851311,446.920288568227,373.9044533851311
182,446.920288568227,373.9044533851311,446.920288568227,373.9044533851311
182,446.920288568227,373.9044533851311,446.920288568227,373.9044533851311
182,446.920288568227,373.9044533851311,446.920288568227,373.9044533851311
182,446.920288568227,373.9044533851311,449.7540154305935,372.9195716310597
182,449.7540154305935,372.9195716310597,450.45660543298504,370.00300390708355
182,450.45660543298504,370.00300390708355,452.59618493854816,367.90010126088845
182,452.59618493854816,367.90010126088845,454.3887027283868,365.4945077846103
