creatureKey,regulatingCount,batches
93,0,1347
93,1,282
93,2,189
93,3,132
93,4,87
93,5,193
93,6,53
93,7,38
93,8,27
93,9,23
93,10,41
93,11,18
93,12,13
93,13,12
93,14,9
93,15,20
93,16,6
93,17,7
93,18,4
93,19,4
93,20,8
93,21,4
93,22,2
93,23,2
93,24,2
93,25,4
93,26,1
93,27,3
93,28,4
93,30,9
93,32,1
93,33,2
93,35,2
93,36,2
93,37,2
93,40,2
93,41,1
93,42,1
93,43,2
93,45,1
93,48,1
93,49,1
93,51,1
93,54,1
93,55,2
93,56,1
93,57,1
93,59,1
93,61,1
93,62,1
93,66,1
93,73,1
93,74,1
93,81,1
93,106,1
93,127,1
93,132,1
93,235,1
