creatureKey,regulatingCount,batches
92,0,1603
92,1,343
92,2,223
92,3,173
92,4,151
92,5,218
92,6,81
92,7,52
92,8,47
92,9,36
92,10,49
92,11,25
92,12,23
92,13,19
92,14,14
92,15,22
92,16,11
92,17,4
92,18,8
92,19,7
92,20,4
92,21,6
92,22,8
92,23,8
92,24,5
92,25,8
92,26,3
92,27,4
92,28,3
92,29,1
92,30,5
92,31,5
92,32,5
92,33,6
92,34,4
92,35,1
92,36,1
92,37,1
92,38,1
92,39,3
92,40,1
92,41,3
92,42,3
92,45,3
92,46,2
92,47,1
92,48,1
92,49,2
92,50,2
92,51,1
92,52,1
92,53,1
92,56,1
92,57,2
92,58,1
92,61,1
92,62,1
92,63,2
92,64,1
92,65,2
92,66,1
92,67,2
92,69,1
92,74,1
92,79,1
92,85,1
92,90,3
92,110,1
92,123,1
92,128,2
92,133,1
