time,simpleEfficiency,complexEfficiency
0.002,,0.107715962592712
0.003,,0.10858971557562076
0.005,,0.11065433845186405
0.006,,0.11065433845186405
0.009,,0.10946307384714607
0.013,0.07647968058924662,0.11120860625604644
0.014,0.07714800464466667,0.112190029013711
0.017,0.07920515547611243,0.11521194178884035
0.023,,0.12147507849080941
0.025,0.08593999349853369,
0.026,0.08593999349853369,0.12511602708803612
0.027,0.08652825300693424,0.12598188584327638
0.028,0.08652825300693424,0.12598188584327638
0.029,0.08652825300693424,
0.033,0.08770371368586324,0.12857709384069654
0.034,,0.12879316381812317
0.05,0.10054111144154826,0.14664408255401487
0.051,,0.14664408255401487
0.062,0.10343514488653144,
0.063,,0.15092009029345377
0.067,0.10343514488653144,0.15092009029345377
0.068,0.10516740212651025,0.153480958400516
0.07,0.10772726447646364,0.15788208857357844
0.073,0.1757117744946432,0.2594354040632055
0.074,,0.2594354040632055
0.084,0.14212899317814517,0.2083698914328712
0.085,,0.2083698914328712
0.091,0.14489844993638112,0.21373858217779218
0.092,,0.2141509207782437
0.124,0.12345209326845782,0.18057584650112873
0.154,0.12627749676435632,
0.155,,0.1847729119638827
0.18,0.12909443675137797,0.188960109642051
0.181,,0.188960109642051
0.188,,0.19313743953563373
0.203,,0.19730490164463085
0.204,,0.19730490164463085
0.223,,0.2014624959690423
0.224,,0.2014624959690423
0.237,0.14027806752248762,0.20581731280232193
0.252,,0.20974808126410843
0.253,,0.20974808126410846
0.258,0.14581975742259273,
0.259,,0.2153185008061916
0.273,,0.21799419542083207
0.287,0.1513282967345134,0.22210245082231547
0.299,0.1540701969375803,0.22620083843921326
0.302,,0.22620083843921326
0.303,0.1540701969375803,0.22620083843921326
0.304,0.1540701969375803,0.22620083843921326
0.314,0.16495590966969745,0.24249571106094817
0.315,,0.24452141954208334
0.318,0.1681960382837607,0.2467064848758466
0.319,0.17249855656081767,0.25461325378910044
0.322,0.1757117744946432,0.25863269912931325
0.333,0.1810414986859385,0.2666419864559821
0.334,,0.2666419864559821
0.337,0.1810414986859385,0.2666419864559821
0.338,0.18210361149237808,0.26823910738471474
0.339,,0.26850509685047846
0.342,0.18897636474024715,0.2785819090615932
0.345,0.18897636474024715,0.2785819090615932
0.346,0.18897636474024715,0.2785819090615932
0.347,0.1895028209687408,0.2785819090615932
0.349,0.19684013740022113,0.29043302160593354
0.356,0.20204347096513356,
0.357,,0.29828442437923214
0.362,0.2049777499698571,0.30328800773943837
0.363,0.2077310393161882,0.3078095734279258
0.369,,0.31386881651080206
0.37,,0.31386881651080206
0.385,,0.31386881651080206
0.398,0.21746745617551527,0.32160180586907333
0.412,0.21797682287651862,0.32314366720412646
0.42,,0.3292953240890021
0.421,,0.3292953240890021
0.437,,0.3292953240890021
0.438,,0.3292953240890021
0.445,0.22759694819567525,
0.446,0.22759694819567525,0.3369493711705884
0.465,0.2301103853103386,
0.466,0.23061216852913327,0.34190328603676046
0.474,0.23311627351968445,0.34595498591851886
0.475,0.23511469505631813,
0.477,0.23760561272645594,0.3521390519187337
0.478,0.23760561272645594,0.3521390519187337
0.487,0.24074993432118053,0.35741794259915916
0.491,0.24207047643610338,
0.507,0.2450336857439138,
0.508,0.2450336857439138,0.36342770074169356
0.527,0.24749489103284492,0.36717084811350903
0.528,0.24749489103284492,0.36717084811350903
0.529,0.24749489103284492,0.36717084811350903
0.53,,0.36717084811350903
0.532,0.24749489103284492,0.36717084811350903
0.533,0.24749489103284492,0.36717084811350903
0.534,0.24749489103284492,0.36717084811350903
0.535,0.24749489103284492,0.36717084811350903
0.536,0.24749489103284492,0.36717084811350903
0.542,0.25239520604068794,0.3749992886165722
0.543,0.2543464321462338,0.3788702929009044
0.545,0.262590660197883,0.3910768284424343
0.575,0.27646056460616486,
0.576,0.2775026417460792,0.4120426920348232
0.577,0.27918183922095613,0.41781858368267855
0.578,0.28095189148800903,0.41853879393743504
0.579,0.30865877245173745,0.46126117553477186
0.58,0.3095678363773523,0.44574004471675605
0.582,0.28729051031849145,0.4285802928087665
0.583,0.29078978874748784,
0.584,0.2912551752443287,0.4335720309577506
0.585,0.2998008809621843,0.43996156078683785
0.611,0.32173402522498656,
0.612,0.32218085074878966,
0.613,,0.48128496012038874
0.614,,0.48128496012038874
0.615,0.3209887199930376,0.48014315855100237
0.619,0.3350228545109102,
0.62,0.3350228545109102,0.5009767924325459
0.622,0.33061979567062316,
0.623,0.3339978358282337,0.499404672041274
0.627,0.34157810594098886,0.5110319681823037
0.631,0.3552247350842921,
0.632,0.3613167748679207,0.5419630910458965
0.633,0.36300771148331656,
0.634,0.36300771148331656,0.5439078146834327
0.636,0.36511552504766037,0.5479478756315141
0.638,0.3672170246469939,0.5503645705686314
0.64,0.3672170246469939,0.5503645705686314
0.645,0.3601874388777348,0.5395813823497774
0.648,0.36018743887773474,0.5395813823497774
0.649,0.3603286923430154,0.5409301888389995
0.65,0.3623037005813503,0.5428278512307837
0.654,0.3904122870332653,0.589309029345371
0.657,0.35933912664460305,0.5424586096241342
0.658,,0.5150291716650529
0.671,0.3451945002247572,
0.672,0.3451945002247572,0.5165798022143379
0.674,0.3451945002247572,0.5165798022143379
0.677,0.3622329754672611,0.5436919097065446
