creatureKey,regulatingCount,batches
352,0,1085
352,1,80
352,2,37
352,3,34
352,4,46
352,5,104
352,6,22
352,7,13
352,8,13
352,9,16
352,10,54
352,11,14
352,12,8
352,13,16
352,14,11
352,15,17
352,16,5
352,17,5
352,18,5
352,19,6
352,20,9
352,21,2
352,22,5
352,23,1
352,24,4
352,25,7
352,26,3
352,27,4
352,28,4
352,29,2
352,30,2
352,31,1
352,32,2
352,33,2
352,35,3
352,36,1
352,37,2
352,38,4
352,39,1
352,40,8
352,41,1
352,43,2
352,47,1
352,48,2
352,49,1
352,52,1
352,55,1
352,57,2
352,59,1
352,68,1
352,71,1
352,75,1
352,80,1
352,88,1
352,102,1
352,103,1
352,105,1
352,120,1
352,167,1
