creatureKey,regulatingCount,batches
347,0,1106
347,1,84
347,2,40
347,3,42
347,4,44
347,5,116
347,6,15
347,7,17
347,8,21
347,9,19
347,10,37
347,11,5
347,12,10
347,13,5
347,14,13
347,15,15
347,16,4
347,17,6
347,18,4
347,19,5
347,20,15
347,22,6
347,23,4
347,24,4
347,25,9
347,26,3
347,27,6
347,28,4
347,29,3
347,30,4
347,31,1
347,32,1
347,33,2
347,34,2
347,35,3
347,36,4
347,37,4
347,39,1
347,40,5
347,41,3
347,42,1
347,43,1
347,45,2
347,47,2
347,48,2
347,49,1
347,50,2
347,52,2
347,54,3
347,56,1
347,57,1
347,58,1
347,59,1
347,63,1
347,65,1
347,67,1
347,72,1
347,73,1
347,79,1
347,84,1
347,91,1
347,106,1
347,107,1
347,119,1
