creatureKey,regulatingCount,batches
90,0,1612
90,1,320
90,2,214
90,3,131
90,4,106
90,5,228
90,6,43
90,7,38
90,8,35
90,9,27
90,10,47
90,11,13
90,12,9
90,13,14
90,14,18
90,15,24
90,16,8
90,17,9
90,18,4
90,19,5
90,20,10
90,21,6
90,22,5
90,23,2
90,24,3
90,25,6
90,26,3
90,27,3
90,28,2
90,29,5
90,30,3
90,32,5
90,33,3
90,34,2
90,35,1
90,36,2
90,37,1
90,38,4
90,39,4
90,40,2
90,42,1
90,44,1
90,45,1
90,46,2
90,47,1
90,48,4
90,49,1
90,50,4
90,52,1
90,55,1
90,56,1
90,57,1
90,59,1
90,62,1
90,64,1
90,66,2
90,68,1
90,70,1
90,79,2
90,81,1
90,83,1
90,99,1
90,114,1
90,122,1
