creatureKey,regulatingCount,batches
97,0,1313
97,1,205
97,2,133
97,3,87
97,4,78
97,5,167
97,6,31
97,7,21
97,8,20
97,9,20
97,10,38
97,11,11
97,12,13
97,13,13
97,14,6
97,15,15
97,16,6
97,17,13
97,18,6
97,19,2
97,20,7
97,21,3
97,22,7
97,23,6
97,24,4
97,25,6
97,26,4
97,27,3
97,28,1
97,29,1
97,30,4
97,31,1
97,32,2
97,33,1
97,34,2
97,35,3
97,36,3
97,37,2
97,38,3
97,39,2
97,40,4
97,42,1
97,43,1
97,44,2
97,46,1
97,47,1
97,52,1
97,54,1
97,55,2
97,56,1
97,57,1
97,61,1
97,63,1
97,71,1
97,77,1
97,85,1
97,105,2
97,108,1
97,114,1
