creatureKey,regulatingCount,batches
96,0,1422
96,1,292
96,2,181
96,3,130
96,4,112
96,5,231
96,6,37
96,7,50
96,8,43
96,9,34
96,10,41
96,11,34
96,12,19
96,13,21
96,14,19
96,15,25
96,16,8
96,17,10
96,18,18
96,19,15
96,20,15
96,21,11
96,22,6
96,23,7
96,24,8
96,25,9
96,26,5
96,27,8
96,28,2
96,29,6
96,30,6
96,32,3
96,33,2
96,34,3
96,35,4
96,36,1
96,37,2
96,38,4
96,39,1
96,40,2
96,41,1
96,43,2
96,44,1
96,45,4
96,46,1
96,47,1
96,54,3
96,58,1
96,59,2
96,60,1
96,66,1
96,68,1
96,75,1
96,80,1
96,84,1
96,86,1
96,87,1
96,102,1
96,106,1
96,121,1
96,172,1
96,229,1
