time,target distance,affordance,memory,random,short term memory
11967.0,0,1,0,0,0
12261.0,0,1,0,1,0
15251.0,0,2,0,1,0
24566.0,0,2,0,2,0
24583.0,0,3,0,2,0
24710.0,0,4,0,2,0
24788.0,0,5,0,2,0
26137.0,0,6,0,2,0
40906.0,0,6,0,3,0
40983.0,0,7,0,3,0
40997.0,0,8,0,3,0
41029.0,0,9,0,3,0
42293.0,0,10,0,3,0
42320.0,0,11,0,3,0
44010.0,0,11,0,4,0
44048.0,0,12,0,4,0
44062.0,0,13,0,4,0
46394.0,0,13,0,5,0
46397.0,0,14,0,5,0
47100.0,0,15,0,5,0
47109.0,0,16,0,5,0
47397.0,0,16,0,6,0
57352.0,0,17,0,6,0
110905.0,0,17,0,7,0
124248.0,0,18,0,7,0
141389.0,0,18,0,8,0
153070.0,0,19,0,8,0
156896.0,0,19,0,9,0
156908.0,0,19,0,10,0
156948.0,0,19,0,11,0
157402.0,0,19,0,12,0
179353.0,0,20,0,12,0
199334.0,0,20,0,13,0
219953.0,0,21,0,13,0
234606.0,0,21,0,14,0
237310.0,0,22,0,14,0
237311.0,0,23,0,14,0
237325.0,0,24,0,14,0
246075.0,0,25,0,14,0
246137.0,0,26,0,14,0
246139.0,0,27,0,14,0
246148.0,0,28,0,14,0
248031.0,0,28,0,15,0
265114.0,0,28,0,16,0
266501.0,0,28,0,17,0
268464.0,0,29,0,17,0
268561.0,0,29,0,18,0
271498.0,0,29,0,19,0
273893.0,0,30,0,19,0
274767.0,0,31,0,19,0
275389.0,0,32,0,19,0
275579.0,0,33,0,19,0
275645.0,0,33,0,20,0
276273.0,0,34,0,20,0
276402.0,0,35,0,20,0
276628.0,0,36,0,20,0
276877.0,0,37,0,20,0
276924.0,0,38,0,20,0
283032.0,0,38,0,21,0
283363.0,0,39,0,21,0
284075.0,0,39,0,22,0
284087.0,0,40,0,22,0
284091.0,0,41,0,22,0
284121.0,0,42,0,22,0
284135.0,0,43,0,22,0
284202.0,0,44,0,22,0
284211.0,0,45,0,22,0
284230.0,0,46,0,22,0
284710.0,0,47,0,22,0
284722.0,0,48,0,22,0
