creature_key,onset_cycle,wake_cycle,duration_ticks,engram_count,mean_eligibility,std_eligibility,batches_completed,aborted
348,3,14,10,0,0.0,0.0,0,false
348,17,28,10,0,0.0,0.0,0,false
348,29,40,10,0,0.0,0.0,0,false
348,41,52,10,0,0.0,0.0,0,false
348,54,66,11,0,0.0,0.0,0,false
348,67,78,10,0,0.0,0.0,0,false
348,80,91,10,0,0.0,0.0,0,false
348,92,103,10,0,0.0,0.0,0,false
348,105,117,11,0,0.0,0.0,0,false
348,118,129,10,0,0.0,0.0,0,false
348,136,147,10,0,0.0,0.0,0,false
348,149,161,11,0,0.0,0.0,0,false
348,162,174,11,0,0.0,0.0,0,false
348,177,188,10,0,0.0,0.0,0,false
348,189,200,10,0,0.0,0.0,0,false
348,202,213,10,0,0.0,0.0,0,false
348,217,229,11,0,0.0,0.0,0,false
348,237,249,11,0,0.0,0.0,0,false
348,251,262,10,0,0.0,0.0,0,false
348,264,276,11,0,0.0,0.0,0,false
348,277,288,10,0,0.0,0.0,0,false
348,293,305,11,0,0.0,0.0,0,false
348,306,317,10,0,0.0,0.0,0,false
348,318,329,10,0,0.0,0.0,0,false
348,334,345,10,0,0.0,0.0,0,false
348,348,359,10,0,0.0,0.0,0,false
348,365,376,10,0,0.0,0.0,0,false
348,379,390,10,0,0.0,0.0,0,false
348,393,405,11,0,0.0,0.0,0,false
348,408,420,11,0,0.0,0.0,0,false
348,421,432,10,0,0.0,0.0,0,false
348,436,447,10,0,0.0,0.0,0,false
348,448,459,10,0,0.0,0.0,0,false
348,460,471,10,0,0.0,0.0,0,false
348,472,484,11,0,0.0,0.0,0,false
348,490,501,10,0,0.0,0.0,0,false
348,503,514,10,0,0.0,0.0,0,false
348,515,526,10,0,0.0,0.0,0,false
348,528,540,11,0,0.0,0.0,0,false
348,544,555,10,0,0.0,0.0,0,false
348,556,567,10,0,0.0,0.0,0,false
348,570,582,11,0,0.0,0.0,0,false
348,583,594,10,0,0.0,0.0,0,false
348,598,609,10,0,0.0,0.0,0,false
348,610,621,10,0,0.0,0.0,0,false
348,625,636,10,0,0.0,0.0,0,false
348,639,650,10,0,0.0,0.0,0,false
348,652,663,10,0,0.0,0.0,0,false
348,665,677,11,0,0.0,0.0,0,false
348,682,694,11,0,0.0,0.0,0,false
348,696,708,11,0,0.0,0.0,0,false
348,711,722,10,0,0.0,0.0,0,false
348,723,735,11,0,0.0,0.0,0,false
348,736,748,11,0,0.0,0.0,0,false
348,753,764,10,0,0.0,0.0,0,false
348,767,778,10,0,0.0,0.0,0,false
348,782,794,11,0,0.0,0.0,0,false
348,796,809,12,0,0.0,0.0,0,false
348,812,823,10,0,0.0,0.0,0,false
348,824,837,12,0,0.0,0.0,0,false
348,839,850,10,0,0.0,0.0,0,false
348,853,864,10,0,0.0,0.0,0,false
348,865,878,12,0,0.0,0.0,0,false
348,881,892,10,0,0.0,0.0,0,false
348,895,907,11,0,0.0,0.0,0,false
