creatureKey,regulatingCount,batches
99,0,1637
99,1,390
99,2,247
99,3,185
99,4,138
99,5,269
99,6,76
99,7,40
99,8,52
99,9,33
99,10,58
99,11,23
99,12,20
99,13,16
99,14,15
99,15,25
99,16,10
99,17,3
99,18,10
99,19,7
99,20,9
99,21,6
99,22,4
99,23,6
99,24,5
99,25,6
99,26,1
99,27,2
99,28,1
99,29,2
99,30,3
99,31,1
99,32,2
99,33,1
99,34,4
99,35,4
99,36,2
99,37,2
99,38,1
99,39,1
99,40,1
99,41,3
99,42,3
99,43,1
99,45,1
99,46,1
99,49,1
99,50,1
99,52,1
99,53,1
99,61,1
99,75,2
99,83,1
99,90,2
99,97,1
99,113,1
99,124,1
