creatureKey,action_time,action_type,selection_type,target_key
354,1782742958065,WANDER,RANDOM,354
354,1782742958082,WANDER,RANDOM,354
354,1782742958086,SLEEP,RANDOM,354
354,1782742958160,SLEEP,RANDOM,354
354,1782742958238,SLEEP,RANDOM,354
354,1782742958814,SLEEP,RANDOM,193
354,1782742958940,SLEEP,RANDOM,354
354,1782742959005,SLEEP,AFFORDANCE,158
354,1782742959009,SLEEP,AFFORDANCE,247
354,1782742959024,SLEEP,AFFORDANCE,111
354,1782742959224,SLEEP,RANDOM,193
354,1782742959226,SLEEP,AFFORDANCE,111
354,1782742959232,SLEEP,RANDOM,64
354,1782742959352,APPROACH,AFFORDANCE,111
354,1782742959355,WANDER,RANDOM,354
354,1782742959387,APPROACH,RANDOM,111
354,1782742959419,WANDER,RANDOM,354
354,1782742959424,WANDER,RANDOM,354
354,1782742959429,SLEEP,RANDOM,354
354,1782742959431,SLEEP,RANDOM,354
354,1782742959796,SLEEP,RANDOM,111
354,1782742959822,SLEEP,RANDOM,111
354,1782742959827,SLEEP,AFFORDANCE,158
354,1782742959852,SLEEP,RANDOM,354
354,1782742959856,SLEEP,RANDOM,354
354,1782742959868,SLEEP,RANDOM,247
354,1782742959872,SLEEP,RANDOM,354
354,1782742959874,SLEEP,RANDOM,354
354,1782742959876,SLEEP,AFFORDANCE,135
354,1782742959878,WANDER,RANDOM,354
354,1782742960475,AVOID,RANDOM,193
354,1782742960476,SLEEP,RANDOM,354
354,1782742960478,SLEEP,RANDOM,354
354,1782742960480,SLEEP,RANDOM,354
354,1782742960482,SLEEP,RANDOM,354
354,1782742960488,SLEEP,RANDOM,193
354,1782742960490,SLEEP,AFFORDANCE,158
354,1782742960491,SLEEP,AFFORDANCE,111
354,1782742960497,SLEEP,AFFORDANCE,247
354,1782742960513,SLEEP,RANDOM,354
354,1782742960515,SLEEP,RANDOM,64
354,1782742960521,SLEEP,RANDOM,354
354,1782742960522,SLEEP,RANDOM,354
354,1782742960527,APPROACH,AFFORDANCE,193
354,1782742960534,WANDER,RANDOM,354
354,1782742961161,APPROACH,RANDOM,193
354,1782742961163,APPROACH,AFFORDANCE,111
354,1782742961165,SLEEP,RANDOM,247
354,1782742961168,SLEEP,AFFORDANCE,247
354,1782742961170,SLEEP,AFFORDANCE,111
354,1782742961454,SLEEP,RANDOM,193
354,1782742961456,SLEEP,AFFORDANCE,111
354,1782742961457,SLEEP,RANDOM,354
354,1782742961463,SLEEP,RANDOM,354
354,1782742961477,SLEEP,RANDOM,158
354,1782742961479,SLEEP,RANDOM,64
354,1782742961480,SLEEP,AFFORDANCE,111
354,1782742961483,SLEEP,RANDOM,193
354,1782742961489,SLEEP,RANDOM,354
354,1782742961492,AVOID,RANDOM,111
354,1782742961912,AVOID,RANDOM,64
354,1782742961916,APPROACH,RANDOM,64
354,1782742961931,WANDER,RANDOM,354
354,1782742961932,SLEEP,RANDOM,354
354,1782742961933,SLEEP,RANDOM,354
354,1782742962207,SLEEP,RANDOM,247
354,1782742962209,SLEEP,RANDOM,247
354,1782742962212,SLEEP,RANDOM,354
354,1782742962214,SLEEP,AFFORDANCE,111
354,1782742962215,SLEEP,RANDOM,354
354,1782742962216,SLEEP,RANDOM,64
354,1782742962221,SLEEP,AFFORDANCE,135
354,1782742962222,SLEEP,AFFORDANCE,247
354,1782742962226,SLEEP,AFFORDANCE,111
354,1782742962233,SLEEP,RANDOM,193
354,1782742962245,AVOID,RANDOM,111
354,1782742962251,APPROACH,RANDOM,247
354,1782742962253,AVOID,RANDOM,247
354,1782742962255,APPROACH,RANDOM,64
354,1782742962257,SLEEP,RANDOM,354
354,1782742962697,SLEEP,RANDOM,111
354,1782742962700,SLEEP,AFFORDANCE,242
354,1782742962703,SLEEP,RANDOM,354
354,1782742962713,SLEEP,RANDOM,354
354,1782742962719,SLEEP,AFFORDANCE,64
354,1782742963004,SLEEP,RANDOM,247
354,1782742963006,SLEEP,AFFORDANCE,111
354,1782742963007,SLEEP,RANDOM,354
354,1782742963008,SLEEP,RANDOM,354
354,1782742963009,SLEEP,RANDOM,354
354,1782742963346,SLEEP,RANDOM,193
354,1782742963450,AVOID,RANDOM,247
354,1782742963459,SLEEP,AFFORDANCE,111
354,1782742963463,SLEEP,RANDOM,354
354,1782742963465,SLEEP,RANDOM,354
354,1782742963466,SLEEP,RANDOM,111
354,1782742963470,SLEEP,AFFORDANCE,111
354,1782742963474,SLEEP,RANDOM,111
354,1782742963475,SLEEP,RANDOM,354
354,1782742963476,SLEEP,RANDOM,111
354,1782742963691,SLEEP,RANDOM,193
354,1782742963704,SLEEP,AFFORDANCE,111
354,1782742963705,SLEEP,AFFORDANCE,30
354,1782742963706,SLEEP,RANDOM,247
354,1782742963719,SLEEP,RANDOM,354
354,1782742963771,SLEEP,RANDOM,111
354,1782742963780,APPROACH,AFFORDANCE,193
354,1782742963785,WANDER,RANDOM,354
354,1782742963786,APPROACH,AFFORDANCE,247
354,1782742963788,SLEEP,AFFORDANCE,64
354,1782742963798,SLEEP,AFFORDANCE,111
354,1782742963799,SLEEP,RANDOM,193
354,1782742963801,SLEEP,RANDOM,354
354,1782742963806,SLEEP,RANDOM,242
354,1782742963807,SLEEP,RANDOM,354
354,1782742963808,SLEEP,AFFORDANCE,247
354,1782742963876,SLEEP,RANDOM,242
354,1782742963878,SLEEP,RANDOM,354
354,1782742963881,SLEEP,RANDOM,354
354,1782742963889,SLEEP,AFFORDANCE,111
354,1782742964811,APPROACH,RANDOM,193
354,1782742964821,AVOID,RANDOM,247
354,1782742964823,AVOID,RANDOM,135
354,1782742964824,SLEEP,AFFORDANCE,247
354,1782742964826,SLEEP,RANDOM,64
354,1782742964833,SLEEP,RANDOM,111
354,1782742964835,SLEEP,AFFORDANCE,64
354,1782742964839,SLEEP,RANDOM,247
354,1782742964840,SLEEP,AFFORDANCE,242
354,1782742964847,SLEEP,RANDOM,354
354,1782742964851,SLEEP,RANDOM,64
354,1782742964868,SLEEP,RANDOM,247
354,1782742964870,SLEEP,RANDOM,354
354,1782742964872,SLEEP,RANDOM,354
354,1782742964880,SLEEP,RANDOM,354
354,1782742964887,SLEEP,RANDOM,64
354,1782742964889,AVOID,RANDOM,242
354,1782742964890,WANDER,RANDOM,354
354,1782742964891,WANDER,RANDOM,354
354,1782742964892,APPROACH,AFFORDANCE,135
354,1782742964893,APPROACH,RANDOM,247
354,1782742964900,WANDER,RANDOM,354
354,1782742964905,SLEEP,RANDOM,354
354,1782742964906,SLEEP,RANDOM,354
354,1782742964913,SLEEP,AFFORDANCE,158
354,1782742964915,SLEEP,RANDOM,111
354,1782742964919,SLEEP,RANDOM,111
354,1782742964921,SLEEP,RANDOM,193
354,1782742964922,SLEEP,RANDOM,354
354,1782742964926,SLEEP,RANDOM,111
354,1782742965937,SLEEP,RANDOM,111
354,1782742965938,SLEEP,RANDOM,111
354,1782742965941,SLEEP,AFFORDANCE,158
354,1782742965944,AVOID,AFFORDANCE,247
354,1782742965953,SLEEP,RANDOM,354
354,1782742965954,SLEEP,RANDOM,193
354,1782742965959,SLEEP,AFFORDANCE,247
354,1782742965961,SLEEP,AFFORDANCE,135
354,1782742965964,SLEEP,AFFORDANCE,111
354,1782742965965,SLEEP,RANDOM,354
354,1782742966690,SLEEP,RANDOM,64
354,1782742966693,SLEEP,RANDOM,193
354,1782742966705,SLEEP,AFFORDANCE,111
354,1782742966710,SLEEP,RANDOM,111
354,1782742966714,SLEEP,AFFORDANCE,158
354,1782742966757,AVOID,RANDOM,247
354,1782742966760,SLEEP,AFFORDANCE,193
354,1782742966765,SLEEP,AFFORDANCE,158
354,1782742966767,SLEEP,RANDOM,354
354,1782742966773,SLEEP,RANDOM,354
354,1782742967030,SLEEP,RANDOM,111
354,1782742967033,SLEEP,RANDOM,354
354,1782742967040,SLEEP,RANDOM,354
354,1782742967051,SLEEP,RANDOM,354
354,1782742967054,SLEEP,RANDOM,354
354,1782742967065,SLEEP,RANDOM,111
354,1782742968060,SLEEP,RANDOM,354
354,1782742968070,APPROACH,RANDOM,193
354,1782742968073,APPROACH,RANDOM,111
354,1782742968075,AVOID,AFFORDANCE,247
354,1782742968078,AVOID,RANDOM,247
354,1782742968080,SLEEP,RANDOM,247
354,1782742968083,SLEEP,RANDOM,354
354,1782742968085,SLEEP,RANDOM,354
354,1782742968088,SLEEP,RANDOM,354
354,1782742968091,SLEEP,RANDOM,111
354,1782742968093,SLEEP,AFFORDANCE,111
354,1782742968094,SLEEP,AFFORDANCE,111
354,1782742968096,SLEEP,AFFORDANCE,111
354,1782742968097,SLEEP,AFFORDANCE,111
