creatureKey,time,object_key,object_type,distance,angle,direction
180,1782743842885,67,RED_APPLE,29.716604407937183,-0.9821874798062931,25.054401622543505
180,1782743842890,4,RED_APPLE,59.32153252059807,0.0074907572425394935,25.054401622543505
180,1782743842899,98,GREEN_APPLE,101.056784347835,0.08530034672192975,25.054401622543505
180,1782743842908,67,RED_APPLE,29.716604407937183,-0.9821874798062931,25.054401622543505
180,1782743842975,4,RED_APPLE,59.32153252059807,0.0074907572425394935,25.054401622543505
180,1782743842999,98,GREEN_APPLE,101.056784347835,0.08530034672192975,25.0
180,1782743843049,67,RED_APPLE,29.716604407937183,-0.9821874798062931,25.0
180,1782743843094,4,RED_APPLE,59.32153252059807,0.0074907572425394935,25.0
180,1782743843103,98,GREEN_APPLE,101.056784347835,0.08530034672192975,25.0
180,1782743843210,67,RED_APPLE,29.716604407937183,-0.9821874798062931,25.0
180,1782743843222,4,RED_APPLE,59.32153252059807,0.0074907572425394935,25.0
180,1782743843226,98,GREEN_APPLE,101.056784347835,0.08530034672192975,25.0
180,1782743843242,67,RED_APPLE,29.716604407937183,-0.9821874798062931,25.0
180,1782743843375,4,RED_APPLE,56.331092114105495,0.003351054735944476,25.0
180,1782743843380,98,GREEN_APPLE,98.056784347835,0.08530034672192978,25.0
180,1782743843430,67,RED_APPLE,28.39151214897545,-1.074882152106291,25.0
180,1782743843433,4,RED_APPLE,56.331092114105495,0.003351054735944476,25.0
180,1782743843464,98,GREEN_APPLE,98.056784347835,0.08530034672192978,25.0
180,1782743843502,67,RED_APPLE,28.39151214897545,-1.074882152106291,25.0
180,1782743843509,4,RED_APPLE,56.331092114105495,0.003351054735944476,25.0
180,1782743843511,98,GREEN_APPLE,98.056784347835,0.08530034672192978,25.0
180,1782743843539,67,RED_APPLE,28.39151214897545,-1.074882152106291,25.0
180,1782743843547,4,RED_APPLE,56.331092114105495,0.003351054735944476,25.0
180,1782743843557,98,GREEN_APPLE,98.056784347835,0.08530034672192978,25.0
180,1782743843658,67,RED_APPLE,28.39151214897545,-1.074882152106291,25.0
180,1782743843661,4,RED_APPLE,56.331092114105495,0.003351054735944476,25.0
180,1782743843665,98,GREEN_APPLE,98.056784347835,0.08530034672192978,25.0
180,1782743843686,67,RED_APPLE,28.39151214897545,-1.074882152106291,25.0
180,1782743843700,4,RED_APPLE,56.331092114105495,0.003351054735944476,25.0
180,1782743843704,98,GREEN_APPLE,98.056784347835,0.08530034672192978,25.0
180,1782743843732,67,RED_APPLE,31.02429498384245,-1.1233462654253947,25.0
180,1782743843734,4,RED_APPLE,56.31444616447792,-0.049918850690085906,25.0
180,1782743843770,98,GREEN_APPLE,97.76057872042527,0.05480805277021051,25.0
180,1782743843866,67,RED_APPLE,31.02429498384245,-1.1233462654253947,25.0
