creatureKey,regulation_time,final_hunger,final_sleep,final_apathy,final_stress,final_pain,final_tedium,final_fear,final_curiosity,final_fertility
91,1782155907114,0.1815,0.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155907127,0.183,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155907134,0.1845,0.1845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155907194,0.186,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155907388,0.1875,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155907466,0.189,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155907469,0.1905,0.1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155907472,0.192,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155907492,0.1935,0.1935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155907498,0.195,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155907748,0.195,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155907752,0.195,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155907830,0.195,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155908848,0.1965,0.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155908849,0.198,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155908867,0.1995,0.1845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155908869,0.201,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155908884,0.2025,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909369,0.20400000000000001,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909370,0.20550000000000002,0.1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909375,0.20700000000000002,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909378,0.20850000000000002,0.1935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909380,0.21000000000000002,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909400,0.21150000000000002,0.1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909401,0.21300000000000002,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909417,0.21450000000000002,0.1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909420,0.21600000000000003,0.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909433,0.21750000000000003,0.2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909435,0.21900000000000003,0.20400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909475,0.22050000000000003,0.20550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909477,0.22200000000000003,0.20700000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909478,0.22350000000000003,0.20850000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909498,0.22500000000000003,0.21000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909522,0.22650000000000003,0.21150000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909536,0.22800000000000004,0.21300000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909538,0.22950000000000004,0.21450000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909553,0.23100000000000004,0.21600000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909555,0.23250000000000004,0.21750000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909557,0.23400000000000004,0.21900000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909580,0.23550000000000004,0.22050000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909582,0.23550000000000004,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909586,0.23700000000000004,0.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909598,0.23850000000000005,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909616,0.24000000000000005,0.1845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909618,0.24000000000000005,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909619,0.24150000000000005,0.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909621,0.24300000000000005,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909751,0.24450000000000005,0.1845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909753,0.24600000000000005,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909758,0.24600000000000005,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909780,0.24750000000000005,0.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909797,0.24750000000000005,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909800,0.24900000000000005,0.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909802,0.24900000000000005,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909812,0.25050000000000006,0.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909817,0.25200000000000006,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909837,0.25350000000000006,0.1845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909848,0.25350000000000006,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909850,0.25500000000000006,0.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909894,0.25650000000000006,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909910,0.25800000000000006,0.1845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909918,0.25800000000000006,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909919,0.25950000000000006,0.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909920,0.26100000000000007,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909927,0.26250000000000007,0.1845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909929,0.26250000000000007,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909942,0.26400000000000007,0.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909949,0.26550000000000007,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909950,0.26550000000000007,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909953,0.26700000000000007,0.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909965,0.26850000000000007,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909967,0.2700000000000001,0.1845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155909970,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910008,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910012,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910015,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910099,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910101,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910136,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910503,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910509,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910511,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910516,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910541,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910543,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910554,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910556,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910563,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910581,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155910583,0.2700000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912171,0.2715000000000001,0.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912173,0.2730000000000001,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912179,0.2745000000000001,0.1845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912181,0.2760000000000001,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912185,0.2775000000000001,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912197,0.2790000000000001,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912226,0.2805000000000001,0.1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912232,0.2820000000000001,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912233,0.2835000000000001,0.1935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912235,0.2850000000000001,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912237,0.2865000000000001,0.1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912248,0.2880000000000001,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912250,0.2895000000000001,0.1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912277,0.2910000000000001,0.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912279,0.2925000000000001,0.2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912281,0.2940000000000001,0.20400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912282,0.2955000000000001,0.20550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912289,0.2970000000000001,0.20700000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912296,0.2985000000000001,0.20850000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912297,0.3000000000000001,0.21000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912348,0.3000000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912349,0.3000000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912351,0.3000000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912392,0.3000000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912422,0.3000000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155912532,0.3000000000000001,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155913129,0.3015000000000001,0.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155913144,0.3030000000000001,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155913160,0.3045000000000001,0.1845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155913166,0.3060000000000001,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155913167,0.3075000000000001,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155913474,0.3090000000000001,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155913492,0.3105000000000001,0.1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1782155913494,0.3120000000000001,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
