creatureKey,regulatingCount,batches
349,0,1044
349,1,35
349,2,15
349,3,17
349,4,17
349,5,65
349,6,6
349,7,9
349,8,7
349,9,6
349,10,20
349,11,4
349,12,2
349,13,2
349,14,4
349,15,14
349,16,4
349,17,5
349,18,3
349,19,7
349,20,3
349,22,3
349,23,2
349,24,1
349,25,3
349,26,1
349,27,1
349,28,2
349,29,1
349,30,2
349,31,1
349,32,1
349,34,1
349,35,1
349,39,2
349,40,2
349,41,1
349,43,3
349,46,1
349,49,1
349,50,2
349,51,1
349,53,1
349,56,2
349,60,2
349,61,2
349,65,1
349,67,1
349,69,1
349,71,2
349,75,2
349,89,1
349,90,1
349,103,1
349,112,1
349,130,1
349,275,1
349,822,1
