creatureKey,regulatingCount,batches
345,0,1103
345,1,82
345,2,39
345,3,40
345,4,48
345,5,114
345,6,18
345,7,17
345,8,8
345,9,13
345,10,29
345,11,8
345,12,6
345,13,7
345,14,4
345,15,17
345,16,5
345,17,8
345,18,5
345,19,3
345,20,6
345,21,5
345,22,3
345,23,6
345,24,4
345,25,2
345,27,4
345,28,6
345,30,4
345,32,3
345,33,3
345,34,3
345,35,3
345,36,4
345,37,2
345,39,1
345,40,2
345,42,1
345,44,1
345,45,1
345,47,1
345,50,3
345,51,2
345,53,2
345,56,2
345,59,3
345,61,1
345,68,1
345,70,1
345,72,2
345,73,1
345,74,2
345,77,1
345,85,1
345,111,1
345,116,1
345,125,1
345,142,1
