time,target distance,affordance,memory,random,short term memory
4362.0,0,1,0,0,0
21580.0,0,1,0,1,0
30135.0,0,2,0,1,0
30354.0,0,2,0,2,0
60199.0,0,3,0,2,0
63440.0,0,3,0,3,0
124140.0,0,4,0,3,0
135440.0,0,4,0,4,0
135449.0,0,5,0,4,0
181140.0,0,6,0,4,0
210760.0,0,6,0,5,0
210782.0,0,7,0,5,0
229221.0,0,8,0,5,0
233176.0,0,9,0,5,0
233179.0,0,10,0,5,0
233235.0,0,11,0,5,0
243934.0,0,12,0,5,0
276217.0,0,12,0,6,0
327946.0,0,13,0,6,0
328675.0,0,13,0,7,0
363370.0,0,13,0,8,0
378752.0,0,13,0,9,0
390404.0,0,13,0,10,0
390406.0,0,14,0,10,0
390477.0,0,15,0,10,0
390482.0,0,16,0,10,0
402335.0,0,17,0,10,0
407619.0,0,18,0,10,0
407648.0,0,19,0,10,0
407747.0,0,20,0,10,0
407751.0,0,21,0,10,0
407818.0,0,22,0,10,0
407847.0,0,23,0,10,0
407852.0,0,24,0,10,0
407872.0,0,25,0,10,0
407888.0,0,26,0,10,0
410748.0,0,27,0,10,0
413646.0,0,28,0,10,0
413677.0,0,29,0,10,0
413700.0,0,30,0,10,0
413703.0,0,31,0,10,0
413704.0,0,32,0,10,0
415272.0,0,33,0,10,0
415274.0,0,34,0,10,0
419772.0,0,35,0,10,0
