creatureKey,regulatingCount,batches
96,0,1937
96,1,398
96,2,227
96,3,162
96,4,123
96,5,285
96,6,81
96,7,63
96,8,46
96,9,37
96,10,66
96,11,37
96,12,24
96,13,18
96,14,24
96,15,23
96,16,16
96,17,10
96,18,3
96,19,6
96,20,5
96,21,4
96,22,3
96,23,4
96,24,3
96,25,6
96,26,3
96,27,3
96,28,3
96,29,2
96,30,5
96,32,3
96,33,2
96,34,3
96,35,1
96,36,2
96,37,3
96,38,5
96,40,4
96,41,1
96,42,3
96,43,1
96,44,3
96,45,2
96,46,1
96,49,1
96,50,2
96,51,1
96,52,1
96,56,1
96,57,3
96,58,1
96,60,2
96,65,1
96,67,1
96,68,1
96,69,1
96,70,1
96,73,1
96,87,1
96,93,1
96,113,1
96,171,1
