creatureKey,regulation_time,final_hunger,final_sleep,final_apathy,final_stress,final_pain,final_tedium,final_fear,final_curiosity,final_fertility
351,1782771991531,0.1815,0.1815,0.0,0.0,0.1815,0.1815,0.0,0.0,0.0
351,1782771991580,0.1815,0.18251570537953907,0.0,0.0,0.1815,0.1815,0.0,0.0,0.0
351,1782771991605,0.183,0.18401570537953907,0.0,0.0,0.183,0.183,0.0,0.0,0.0
351,1782771991659,0.183,0.1850471006393037,0.0,0.0,0.183,0.183,0.0,0.0,0.0
351,1782771991671,0.1845,0.18654710063930371,0.0,0.0,0.1845,0.1845,0.0,0.0,0.0
351,1782771991746,0.1845,0.18759415479596298,0.0,0.0,0.1845,0.1845,0.0,0.0,0.0
351,1782771991757,0.186,0.18909415479596298,0.0,0.0,0.186,0.186,0.0,0.0,0.0
351,1782771991760,0.186,0.19015682141274512,0.0,0.0,0.186,0.186,0.0,0.0,0.0
351,1782771991803,0.1875,0.19165682141274512,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0
351,1782771991811,0.1875,0.19273503864526523,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0
351,1782771991836,0.1875,0.18,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0
351,1782771991842,0.1875,0.18,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0
351,1782771992072,0.1875,0.18,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0
351,1782771992136,0.1875,0.18,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0
351,1782771992210,0.1875,0.18,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0
351,1782771992642,0.189,0.1815,0.0,0.0,0.189,0.189,0.0,0.0,0.0
351,1782771992675,0.189,0.18259369065729286,0.0,0.0,0.189,0.189,0.0,0.0,0.0
351,1782771992677,0.1905,0.18409369065729286,0.0,0.0,0.1905,0.1905,0.0,0.0,0.0
351,1782771992679,0.1905,0.18520276227799112,0.0,0.0,0.1905,0.1905,0.0,0.0,0.0
351,1782771992708,0.192,0.18670276227799112,0.0,0.0,0.192,0.192,0.0,0.0,0.0
351,1782771992711,0.192,0.18782710722157356,0.0,0.0,0.192,0.192,0.0,0.0,0.0
351,1782771992713,0.1935,0.18932710722157356,0.0,0.0,0.1935,0.1935,0.0,0.0,0.0
351,1782771992740,0.1935,0.19046660277459318,0.0,0.0,0.1935,0.1935,0.0,0.0,0.0
351,1782771992743,0.195,0.19196660277459318,0.0,0.0,0.195,0.195,0.0,0.0,0.0
351,1782771992745,0.195,0.19312111127178067,0.0,0.0,0.195,0.195,0.0,0.0,0.0
351,1782771992779,0.195,0.19312111127178067,0.0,0.0,0.195,0.215,0.0,0.0,0.0
351,1782771992781,0.195,0.19312111127178067,0.0,0.0,0.195,0.18,0.0,0.0,0.0
351,1782771992789,0.1965,0.19462111127178067,0.0,0.0,0.1965,0.1815,0.0,0.0,0.0
351,1782771992827,0.1965,0.19579048023190332,0.0,0.0,0.1965,0.1815,0.0,0.0,0.0
351,1782771992843,0.198,0.19729048023190332,0.0,0.0,0.198,0.183,0.0,0.0,0.0
351,1782771992846,0.198,0.19847454250824567,0.0,0.0,0.198,0.183,0.0,0.0,0.0
351,1782771992848,0.1995,0.19997454250824567,0.0,0.0,0.1995,0.1845,0.0,0.0,0.0
351,1782771992859,0.1995,0.20117311645356306,0.0,0.0,0.1995,0.1845,0.0,0.0,0.0
351,1782771992863,0.201,0.20267311645356306,0.0,0.0,0.201,0.186,0.0,0.0,0.0
351,1782771992869,0.201,0.2038860060993456,0.0,0.0,0.201,0.186,0.0,0.0,0.0
351,1782771992871,0.2025,0.2053860060993456,0.0,0.0,0.2025,0.1875,0.0,0.0,0.0
351,1782771992873,0.2025,0.20661300134921537,0.0,0.0,0.2025,0.1875,0.0,0.0,0.0
351,1782771992876,0.2025,0.20661300134921537,0.0,0.0,0.2025,0.2075,0.0,0.0,0.0
351,1782771992877,0.2025,0.20661300134921537,0.0,0.0,0.2025,0.22749999999999998,0.0,0.0,0.0
351,1782771992879,0.2025,0.20661300134921537,0.0,0.0,0.2025,0.24749999999999997,0.0,0.0,0.0
351,1782771992933,0.2025,0.20661300134921537,0.0,0.0,0.2025,0.19749999999999995,0.0,0.0,0.0
351,1782771992942,0.2025,0.20661300134921537,0.0,0.0,0.2025,0.18,0.0,0.0,0.0
