time,hunger,sleep
0.001,0.1815,0.1815
0.002,0.1815,0.18251570537953907
0.003,0.18225,0.18326570537953907
0.005,0.18375000000000002,0.1822735386989907
0.006,0.1845,0.1812735270783296
0.007,0.186,0.1815
0.008,0.1865,0.18135422220559405
0.011,0.18825000000000003,0.18166797697245324
0.012,0.1905,0.18309881764509464
0.013,0.1905,0.18
0.014,0.192,0.1820621724717912
0.015,0.1935,0.18469409272009224
0.016,0.195,0.18676384049660205
0.017,0.1965,0.1901199703698631
0.018,0.19899999999999998,0.19467130487869366
0.019,0.20099999999999998,0.19205119933230877
0.02,0.20250000000000004,0.18084539904997393
0.021,0.20339999999999997,0.18084817536741019
0.022,0.20550000000000002,0.1821272603539376
0.023,0.20737500000000003,0.18175560852634115
0.024,0.20925000000000002,0.18353104168892606
0.025,0.21171428571428574,0.18481876518697377
0.026,0.21300000000000002,0.18
0.028,0.21450000000000002,0.1815
0.029,0.21450000000000002,0.18141532796633092
0.03,0.21675,0.18359509351237158
0.032,0.21960000000000002,0.18916242550148926
0.035,0.22050000000000003,0.18
0.036,0.22125000000000003,0.18075
0.037,0.22200000000000006,0.1809617522071293
0.038,0.222,0.17999999999999997
0.039,0.22275000000000003,0.18075
0.04,0.22350000000000003,0.1814475387530939
0.043,0.22500000000000003,0.18220225424859374
0.044,0.22625000000000006,0.18244085489309989
0.045,0.22875000000000004,0.18658570424988827
0.046,0.23025000000000004,0.18951607526339023
0.047,0.23190000000000005,0.18322994637310128
0.048,0.23400000000000007,0.18148413784207765
0.049,0.23550000000000004,0.182958877312842
0.05,0.23587500000000006,0.1811147193282105
0.051,0.23760000000000003,0.18148706572548423
0.052,0.24112500000000003,0.18762711912399122
0.053,0.24412500000000006,0.18112198959524234
0.054,0.2470714285714286,0.18213818214948435
0.055,0.24964285714285722,0.1812848340475655
0.056,0.25237500000000007,0.18149975334105353
0.057,0.25500000000000006,0.18524975328018287
0.059,0.25762500000000005,0.1908740132424728
0.06,0.25900000000000006,0.19349778025201372
0.061,0.26160000000000005,0.18779650066694353
0.062,0.26250000000000007,0.18299384417029757
0.063,0.2632500000000001,0.18075
0.064,0.26625000000000004,0.18429549463934283
0.065,0.27075000000000005,0.19267665309410215
0.066,0.2715000000000001,0.19489836544699687
0.067,0.2715000000000001,0.19489836544699687
0.068,0.2715000000000001,0.19489836544699687
0.069,0.2715000000000001,0.19489836544699687
0.07,0.2730000000000001,0.19713080956846896
0.071,0.27570000000000006,0.1859453916110498
0.072,0.2775000000000001,0.184452413526233
0.073,0.2790000000000001,0.18835538862725518
0.074,0.2843333333333334,0.19858551502182548
0.075,0.2875000000000001,0.18146175220712926
0.076,0.2910000000000001,0.18801358074288194
0.077,0.2943000000000001,0.19462062341347144
0.078,0.2970000000000001,0.1995283775980415
0.079,0.30216666666666675,0.2020953848202666
0.08,0.3045000000000001,0.18137726035393759
0.081,0.3045000000000001,0.18
0.082,0.30690000000000006,0.18278992515220444
0.083,0.3090000000000001,0.18210644482289126
0.084,0.3110000000000001,0.1832033131840541
0.085,0.3140000000000001,0.18584847774881993
0.086,0.3165000000000001,0.18671845834010817
0.087,0.31650000000000006,0.17999999999999997
0.088,0.31916666666666677,0.1842805262987495
0.089,0.3225000000000001,0.18932710722157356
0.09,0.32325000000000015,0.1914209911082892
0.091,0.3255000000000001,0.1944679910708758
0.092,0.32850000000000007,0.20008904373628722
0.093,0.33225000000000016,0.20629644048729975
0.094,0.33664285714285735,0.20340342101421796
0.096,0.3397500000000001,0.18075
0.097,0.34087500000000015,0.18097273209482542
0.098,0.3432857142857144,0.1824540449937984
0.099,0.34560000000000013,0.18170732539793405
0.101,0.34875000000000017,0.18201365711224654
0.102,0.35277272727272735,0.18151387110351644
0.103,0.3547500000000001,0.18062424654868744
0.104,0.35600000000000015,0.1805
0.105,0.35785714285714304,0.18085014927336918
0.106,0.36000000000000015,0.18074122147477073
0.107,0.36150000000000015,0.18184677323658677
0.108,0.3632142857142859,0.18136170286822706
0.109,0.36600000000000016,0.183998207290856
0.11,0.36720000000000014,0.18158786796564402
0.111,0.36900000000000016,0.1819821022262757
0.112,0.36900000000000016,0.18
0.113,0.36900000000000016,0.18
0.115,0.36960000000000015,0.18072498889303695
0.116,0.37200000000000016,0.1826215441029939
0.117,0.3727500000000002,0.18095164083127072
0.118,0.3750000000000001,0.18111504807006237
0.119,0.3768750000000001,0.1814160739375279
0.12,0.37800000000000017,0.18
0.121,0.3808125000000002,0.18366116078541303
0.123,0.3835000000000002,0.18196352422198595
0.124,0.3855000000000002,0.18186074845810532
0.125,0.3855000000000002,0.18000000000000002
0.126,0.3873750000000002,0.18125877793926395
0.127,0.3892500000000002,0.182910677550986
0.128,0.3915000000000002,0.18581395793595606
0.129,0.3930000000000002,0.18757388451453683
0.13,0.3930000000000002,0.1820223982334931
0.131,0.39570000000000016,0.18331317584507878
0.132,0.3980000000000002,0.18250901794112293
0.133,0.4008750000000002,0.18231499536083015
0.134,0.40450000000000025,0.18516790002226968
0.135,0.40680000000000016,0.18220034535904744
0.136,0.4100000000000002,0.18633604603406864
0.137,0.4110000000000002,0.18266913167421475
0.138,0.41250000000000026,0.1811687186099008
0.14,0.4140000000000002,0.1815
0.141,0.41614285714285737,0.18301373073567226
0.142,0.4170000000000002,0.18
0.143,0.41828571428571454,0.18107993706735495
0.144,0.4185000000000002,0.18
0.146,0.4185000000000002,0.18
0.147,0.4185000000000002,0.18
0.148,0.4185000000000002,0.18
0.15,0.4185000000000002,0.18
0.151,0.4200000000000002,0.1815
0.152,0.4206000000000002,0.18111080627147508
0.153,0.4230000000000002,0.18388630078689347
0.154,0.4245000000000002,0.18583523271615776
0.155,0.4251000000000002,0.18070951729475335
0.156,0.4284000000000002,0.18388313655375269
0.157,0.4290000000000002,0.18000000000000002
0.159,0.4290000000000002,0.18
0.16,0.4320000000000002,0.18386135212618326
0.161,0.4350000000000002,0.18813091907181803
0.162,0.4367142857142859,0.18103138083891773
0.163,0.4380000000000002,0.18211474337861208
0.164,0.4395000000000002,0.18201568651103428
0.165,0.44265000000000027,0.18173790285709518
0.166,0.4474285714285716,0.1845897584815541
0.167,0.45100000000000023,0.18998993868984906
0.168,0.45150000000000023,0.18
0.169,0.45150000000000023,0.18000000000000002
0.17,0.45150000000000023,0.18
0.171,0.45150000000000023,0.18
0.172,0.45300000000000024,0.18149104330125526
0.173,0.45300000000000024,0.18
0.174,0.4541250000000002,0.18093636982303118
0.175,0.45450000000000024,0.18
0.176,0.4560000000000003,0.18204421391456097
0.177,0.45942857142857163,0.18725189989600113
0.178,0.4651250000000002,0.19596958996224254
0.179,0.4698000000000002,0.20336470298784737
0.18,0.4737000000000003,0.2094584813810048
0.181,0.4762500000000003,0.2137081838077722
0.182,0.47760000000000025,0.2162236474720997
0.184,0.47850000000000026,0.18758221663369365
0.185,0.47850000000000026,0.18
0.186,0.4785000000000002,0.18000000000000002
0.187,0.4788750000000003,0.180375
0.188,0.48000000000000026,0.18125
0.189,0.48270000000000024,0.18392512240753708
0.19,0.4865625000000003,0.18386541852964888
0.191,0.48900000000000027,0.1820468453286464
0.192,0.49100000000000027,0.18533307173775834
0.193,0.49200000000000027,0.1878271072215735
0.194,0.4950000000000003,0.19254883592437066
0.195,0.4980000000000003,0.19788251137007434
0.196,0.501214285714286,0.20393105203682999
0.197,0.5065000000000001,0.18417029360667722
0.198,0.5085,0.18
0.199,0.5099999999999999,0.18143129754204876
0.2,0.5105,0.18079032300596143
0.201,0.5137499999999998,0.1828488218189752
0.202,0.5159999999999997,0.1820007170836576
0.203,0.5171249999999996,0.18180177669529662
0.204,0.5189999999999996,0.18218224215685536
0.205,0.5213999999999995,0.18546868320309834
0.206,0.5246999999999994,0.18437786540382525
0.207,0.5268749999999993,0.18908812629051258
0.209,0.5284999999999992,0.1843784300844212
0.21,0.5294999999999992,0.1807325927533755
0.211,0.5306249999999992,0.18184499541027
0.212,0.5324999999999991,0.1858836566021161
0.213,0.534499999999999,0.18885193228627142
0.214,0.5363571428571419,0.19307062979631803
0.216,0.538499999999999,0.1829550460114354
0.217,0.5402142857142845,0.18127938215728373
0.219,0.5429999999999987,0.18448014684283848
0.22,0.5429999999999987,0.1859644384234028
0.221,0.5429999999999987,0.18
0.222,0.5444999999999987,0.18224397919048468
0.223,0.5444999999999987,0.18
0.224,0.5444999999999987,0.18
0.225,0.5459999999999986,0.18224557181268217
0.226,0.5480999999999986,0.18254647850002328
0.227,0.5530714285714269,0.19049302785604724
0.228,0.5587499999999982,0.2017404474873449
0.23,0.562499999999998,0.2084852099547116
0.231,0.563249999999998,0.21072905412500917
0.232,0.5651999999999979,0.20067971032641796
0.233,0.5654999999999979,0.18000000000000002
0.234,0.5669999999999978,0.1815
0.235,0.5669999999999978,0.18149214579028217
0.236,0.5684999999999978,0.18255658794707164
0.238,0.5717999999999976,0.18893091698026115
0.239,0.5744999999999976,0.1941204423848283
0.24,0.5752499999999976,0.18075
0.242,0.5764999999999975,0.18148413784207765
0.243,0.5778749999999975,0.1818477516310471
0.244,0.5815714285714259,0.18734270866043623
0.245,0.5852999999999973,0.18878434056092233
0.246,0.5871428571428543,0.18145222724985197
0.247,0.589499999999997,0.1843852566213879
0.248,0.589499999999997,0.18576031215620314
0.249,0.5897142857142826,0.1802142857142857
0.25,0.5921249999999969,0.18466626100900735
0.251,0.5939999999999969,0.1860846650547102
0.252,0.5959999999999968,0.18096104088083734
0.253,0.5984999999999967,0.1822838721160959
0.254,0.6020624999999966,0.18370223836785288
0.255,0.6064999999999964,0.1869269660479743
0.256,0.6074999999999964,0.18
0.257,0.6074999999999964,0.18
0.258,0.6082499999999964,0.1810532224114456
0.259,0.6110624999999963,0.18240067092941872
0.26,0.6128999999999961,0.18083387379202454
0.261,0.6147499999999961,0.18094241808286457
0.262,0.617749999999996,0.1826970545259435
0.263,0.619999999999996,0.18136969054023275
0.264,0.6214999999999958,0.18136456355243094
0.265,0.6232499999999959,0.18332821723252013
0.266,0.6254999999999957,0.18716441092763195
0.267,0.6282857142857099,0.18829952597542068
0.268,0.6299999999999956,0.1825
0.269,0.6307499999999955,0.18075
0.27,0.6334999999999956,0.1833748282649292
0.271,0.6372499999999953,0.18146089138373991
0.272,0.6389999999999952,0.18078126186854143
0.273,0.6404999999999952,0.18194546418965085
0.274,0.6404999999999952,0.18239092837930174
0.275,0.6419999999999951,0.18288583727167365
0.276,0.6439999999999951,0.1828580022896191
