creatureKey,regulatingCount,batches
350,0,1181
350,1,68
350,2,40
350,3,36
350,4,25
350,5,112
350,6,8
350,7,12
350,8,14
350,9,18
350,10,35
350,11,6
350,12,4
350,13,5
350,14,4
350,15,9
350,16,2
350,18,2
350,19,3
350,20,7
350,23,1
350,24,2
350,25,4
350,27,3
350,28,2
350,29,2
350,30,5
350,31,1
350,32,5
350,33,1
350,34,1
350,36,2
350,38,1
350,40,1
350,42,2
350,44,1
350,46,1
350,48,1
350,49,1
350,50,1
350,51,1
350,52,1
350,56,1
350,59,1
350,69,1
350,75,1
350,83,1
350,88,1
350,107,1
350,120,1
350,150,1
