creatureKey,regulatingCount,batches
95,0,1498
95,1,351
95,2,220
95,3,188
95,4,158
95,5,236
95,6,80
95,7,62
95,8,43
95,9,45
95,10,59
95,11,20
95,12,20
95,13,18
95,14,10
95,15,24
95,16,16
95,17,8
95,18,14
95,19,9
95,20,11
95,21,8
95,22,10
95,23,6
95,24,4
95,25,3
95,26,2
95,27,5
95,28,7
95,29,4
95,30,4
95,31,2
95,32,2
95,33,3
95,34,3
95,35,2
95,36,2
95,37,1
95,38,1
95,39,2
95,40,3
95,41,1
95,42,1
95,43,1
95,44,1
95,45,1
95,47,1
95,48,1
95,49,1
95,51,1
95,52,1
95,55,1
95,56,2
95,60,1
95,65,1
95,76,1
95,80,1
95,84,1
95,85,1
95,87,1
95,88,3
95,96,1
95,100,1
95,112,1
95,128,1
95,141,1
95,160,1
