creatureKey,regulatingCount,batches
94,0,1728
94,1,459
94,2,258
94,3,194
94,4,153
94,5,265
94,6,84
94,7,63
94,8,52
94,9,48
94,10,50
94,11,34
94,12,25
94,13,20
94,14,13
94,15,24
94,16,9
94,17,4
94,18,7
94,19,13
94,20,8
94,21,5
94,22,8
94,23,3
94,24,3
94,25,5
94,26,5
94,27,3
94,28,1
94,29,1
94,30,2
94,31,3
94,33,2
94,35,2
94,36,3
94,37,1
94,39,1
94,40,4
94,41,1
94,42,1
94,47,1
94,51,1
94,52,1
94,53,1
94,54,1
94,55,1
94,57,1
94,58,1
94,61,1
94,64,1
94,66,2
94,67,1
94,70,1
94,72,1
94,82,2
94,87,1
94,89,1
94,110,1
94,116,1
94,172,1
