creatureKey,regulatingCount,batches
95,0,1495
95,1,282
95,2,179
95,3,119
95,4,88
95,5,217
95,6,49
95,7,44
95,8,30
95,9,29
95,10,43
95,11,14
95,12,13
95,13,12
95,14,11
95,15,23
95,16,8
95,17,3
95,18,12
95,19,6
95,20,4
95,21,7
95,22,4
95,23,2
95,24,5
95,25,10
95,26,4
95,27,2
95,28,3
95,29,2
95,30,2
95,31,3
95,32,3
95,33,2
95,34,1
95,35,4
95,36,2
95,39,2
95,40,3
95,41,1
95,42,4
95,43,1
95,44,3
95,45,3
95,46,1
95,50,1
95,51,2
95,53,1
95,54,1
95,55,1
95,58,1
95,61,1
95,62,2
95,63,1
95,67,2
95,68,2
95,70,1
95,82,1
95,91,1
95,92,1
95,94,1
95,144,1
95,169,1
